Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Juvenile_CD49bpos
chr15	101154140	101155704	Merged-chr15-101155289-56	Acvr1b	2.86525987510897e-09	-1.07648515738116
chr2	122065000	122066159	Merged-chr2-122065477-43	Eif3j2	2.8863210143197e-09	-1.18968285619222
chr9	9107042	9108363	Merged-chr9-9107888-35	Gm16833	2.9555590229121e-09	-1.4933708212765
chr13	52600016	52600616	Merged-chr13-52600330-25	Syk	3.14290973225792e-09	-2.15001487211149
chr11	68483116	68484023	Merged-chr11-68483480-36	Pik3r6	3.14290973225792e-09	-1.45296028712759
chr9	112216766	112218365	Merged-chr9-112217523-46	Arpp21	3.90713864660423e-09	-1.46159014621478
chr2	172901373	172902021	Merged-chr2-172901602-6	Bmp7	4.73572428244578e-09	-2.16304698628567
chr9	63641444	63642879	Merged-chr9-63642374-40	Aagab	5.35246848078715e-09	-1.39041716324706
chr14	53794726	53795990	Merged-chr14-53795473-49	Dad1	5.37656971848442e-09	-1.39267073191858
chr6	120042711	120043371	Merged-chr6-120042930-25	Wnk1	5.95679975804082e-09	-1.75368475233069
chr7	97444365	97445452	Merged-chr7-97444709-15	Kctd14	6.16539333457401e-09	-1.75699423625214
chr1	191280633	191282288	Merged-chr1-191281331-57	Nenf	7.78587992230859e-09	-0.973461521358327
chr7	112187883	112188921	Merged-chr7-112188235-39	Dkk3	8.68920809370293e-09	-1.618382033051
chr5	24951604	24953757	Merged-chr5-24952780-41	Prkag2	8.9788244500551e-09	-1.03230140733572
chr7	113289101	113289861	Merged-chr7-113289420-29	Btbd10	9.11548565656156e-09	-1.84849440650569
chr11	53496753	53497532	Merged-chr11-53497172-41	Sowaha	9.70394570386513e-09	-1.41853009062013
chr11	59745199	59747122	Merged-chr11-59746232-54	1700007J10Rik	1.0331414982214e-08	-0.710293251683772
chr5	122317167	122318541	Merged-chr5-122318027-28	Pptc7	1.05938989919161e-08	-1.44893281205994
chr12	85545538	85546384	Merged-chr12-85545981-27	Jdp2	1.07982451372739e-08	-1.77126835082504
chr15	76614182	76614656	Merged-chr15-76614386-8	Slc39a4	1.28499207844133e-08	-2.51223904459724
chr11	100888136	100889136	Merged-chr11-100888659-19	Stat5a	1.34526313452456e-08	-1.61438445435493
chr9	22261624	22262159	Merged-chr9-22261923-27	Zfp599	1.40612281967749e-08	-1.74501377249956
chrX	56481588	56482545	Merged-chrX-56482024-45	Ints6l	1.52625327481175e-08	-1.42918679714959
chr7	46712129	46712768	Merged-chr7-46712479-27	Saal1	1.63556537238588e-08	-2.75007004757023
chr5	113870673	113873223	Merged-chr5-113872159-69	Coro1c	1.66876441982606e-08	-1.05655714804584
chr19	4718143	4719412	Merged-chr19-4718744-42	Sptbn2	1.82916326468592e-08	-1.61152654955108
chr17	15531925	15532576	Merged-chr17-15532263-13	Pdcd2	1.85591022394798e-08	-1.61179968457079
chr5	36668494	36670285	Merged-chr5-36669519-57	D5Ertd579e	1.87328490097522e-08	-1.26327876124868
chr4	138443593	138444691	Merged-chr4-138444211-26	Mul1	1.95478509695472e-08	-1.58858078957318
chr1	74897350	74897975	Merged-chr1-74897680-3	Mir375	1.98400201581245e-08	-1.99322951593208
chr7	132872742	132874027	Merged-chr7-132873224-43	Abraxas2	2.01009314394556e-08	-1.09148588114035
chr1	52470306	52472375	Merged-chr1-52471228-53	Nab1	2.14004156951341e-08	-1.03815569069851
chr11	98360953	98361874	Merged-chr11-98361481-29	Stard3	2.19997376305248e-08	-1.5558224219622
chr5	36451245	36452199	Merged-chr5-36451535-38	2210406O10Rik	2.3687288129985e-08	-1.84856754795507
chr14	61015225	61016602	Merged-chr14-61016200-44	Tnfrsf19	2.69179540424242e-08	-0.922873829643969
chr15	27826923	27828799	Merged-chr15-27827935-56	Otulinl	2.82495084339759e-08	-0.850365807015092
chr8	13112518	13114060	Merged-chr8-13113363-44	Cul4a	2.91312336951991e-08	-1.37525506356442
chr10	82962395	82963279	Merged-chr10-82962888-41	Chst11	2.96256439521373e-08	-1.45059183308494
chr15	74739495	74741038	Merged-chr15-74740228-55	Lypd2	3.01928143032481e-08	-1.10997533426294
chr7	99448709	99449484	Merged-chr7-99449115-40	Klhl35	3.08770495758978e-08	-1.26192064240207
chr5	73872046	73872449	Merged-chr5-73872249-5	Usp46	3.16221877828251e-08	-3.53000465581041
chr17	5308938	5311519	Merged-chr17-5310579-57	Ldhal6b	3.39283819661389e-08	-0.705361687997902
chr2	31434656	31436358	Merged-chr2-31435655-47	Ass1	3.45789301786279e-08	-1.1148516968224
chr1	97781408	97782343	Merged-chr1-97781888-52	Gin1	3.7376126865067e-08	-1.13782371264208
chr10	30660534	30662371	Merged-chr10-30661143-53	Ncoa7	3.7672913979439e-08	-0.949195346104118
chr6	95552062	95553308	Merged-chr6-95552586-56	Suclg2	3.80403280500452e-08	-1.00797531279484
chr12	72361665	72362728	Merged-chr12-72362093-56	Rtn1	3.81682901006691e-08	-0.990709367481035
chr9	111187723	111188146	Merged-chr9-111187935-3	Lrrfip2	3.96751766738713e-08	-2.69607237532531
chr11	88949914	88950914	Merged-chr11-88950485-45	Scpep1	3.97405747093219e-08	-1.29240865973541
chr3	20824941	20826581	Merged-chr3-20825904-53	Agtr1b	4.66625940776301e-08	-0.980444118141579
chr17	45297574	45299628	Merged-chr17-45298563-57	Cdc5l	4.85658234592274e-08	-0.934572373700549
chr5	31105260	31106855	Merged-chr5-31105983-33	Slc30a3	5.08278355520892e-08	-1.63626889257801
chr15	78385187	78386624	Merged-chr15-78385860-48	Tex33	5.10672329543856e-08	-1.17814897237636
chr1	171387215	171390709	Merged-chr1-171389226-75	Arhgap30	5.20323063185715e-08	-0.459474520311352
chr5	100161596	100162535	Merged-chr5-100162169-30	Tmem150c	6.78529994983383e-08	-1.53926363119709
chr15	73706548	73708663	Merged-chr15-73707805-54	Gpr20	6.88180545179799e-08	-1.12241904923407
chr11	107140506	107141786	Merged-chr11-107141107-45	Bptf	6.92761337042168e-08	-1.55004949391539
chr6	83184570	83187102	Merged-chr6-83185858-52	Dctn1	6.98609470686896e-08	-0.79385286879158
chr6	83501622	83503177	Merged-chr6-83502747-46	Dguok	7.16527531158074e-08	-0.796137368954114
chr12	28732300	28734516	Merged-chr12-28733122-49	Trappc12	7.31414481994916e-08	-0.981600835668272
chr3	55626855	55628006	Merged-chr3-55627271-45	Mab21l1	7.55542171638001e-08	-1.50123996951627
chr7	3897776	3898676	Merged-chr7-3898224-42	Pira6	7.55582686511977e-08	-1.48284095916314
chr7	46917703	46918308	Merged-chr7-46917988-18	Tsg101	7.55702138277885e-08	-1.56613702111815
chr7	75699522	75703263	Merged-chr7-75701161-101	Klhl25	8.41614685026083e-08	-0.647566674766211
chr15	73440879	73441460	Merged-chr15-73441201-16	Ptk2	8.64769283868071e-08	-1.55999420298326
chr3	54068099	54068844	Merged-chr3-54068483-22	Trpc4	9.43117988348797e-08	-1.7867431585628
chr13	88827821	88828814	Merged-chr13-88828521-54	Edil3	9.61267837652473e-08	-1.33260003487416
chr16	4654929	4656956	Merged-chr16-4656113-36	Vasn	9.79800856171693e-08	-1.06508070749218
chr7	101421409	101422759	Merged-chr7-101422277-38	Pde2a	1.0067582982509e-07	-1.02246823211957
chr15	80697263	80698574	Merged-chr15-80697848-56	A430088P11Rik	1.01471753931731e-07	-0.841113693360172
chr2	33604622	33606784	Merged-chr2-33605674-44	Lmx1b	1.05470620662332e-07	-0.772549627505598
chr11	32039545	32040390	Merged-chr11-32039936-26	Nsg2	1.0992543992287e-07	-1.44876238979177
chr8	121897861	121899573	Merged-chr8-121898542-57	Slc7a5	1.12080566498806e-07	-0.725606950161234
chr15	99802793	99804377	Merged-chr15-99803413-57	Lima1	1.13480001426293e-07	-0.589472038117777
chr4	142079731	142080405	Merged-chr4-142079992-21	Tmem51os1	1.14275010654005e-07	-1.34229834895637
chr11	76628517	76629278	Merged-chr11-76628883-37	Bhlha9	1.14371368873344e-07	-1.92306575848959
chr17	12871115	12873026	Merged-chr17-12872395-49	Mas1	1.15013562089863e-07	-0.834833021242562
chr11	70437184	70438365	Merged-chr11-70437791-31	Mir7115	1.16475538568521e-07	-1.01078485175456
chr17	56811924	56812660	Merged-chr17-56812214-16	Rfx2	1.16702662156026e-07	-1.92085828188182
chr2	179933959	179935870	Merged-chr2-179934636-50	Taf4	1.19629613557294e-07	-0.978563168157717
chr1	127829972	127831076	Merged-chr1-127830494-33	Map3k19	1.20836957221288e-07	-1.49777341958119
chr7	100413067	100414518	Merged-chr7-100413612-33	C2cd3	1.23533781508043e-07	-0.941649689082693
chr7	126807192	126810044	Merged-chr7-126808878-63	Aldoa	1.27466860395648e-07	-0.658382715896099
chr4	47207443	47209088	Merged-chr4-47208429-45	Col15a1	1.27957147061061e-07	-0.946286768416865
chr1	133694098	133696239	Merged-chr1-133695020-54	Lax1	1.3425446504804e-07	-0.522758741294906
chr19	61244378	61245401	Merged-chr19-61244845-55	Csf2ra	1.40675233108222e-07	-0.931537253823763
chr17	30971942	30974483	Merged-chr17-30973466-53	Umodl1	1.46998967294353e-07	-0.730407600466184
chr5	117100959	117102084	Merged-chr5-117101553-29	Suds3	1.47691035617423e-07	-1.28340301694644
chr2	153134009	153134677	Merged-chr2-153134385-34	Hck	1.47753170219002e-07	-1.63969279517537
chr1	88586764	88588188	Merged-chr1-88587436-57	Gm19589	1.613716297442e-07	-0.571908431874959
chr18	60886438	60886958	Merged-chr18-60886750-11	Arsi	1.669341124779e-07	-1.97597453765799
chr5	32378423	32379245	Merged-chr5-32378858-25	Plb1	1.74511307771496e-07	-2.23198568045995
chr5	140730929	140731698	Merged-chr5-140731236-55	Amz1	1.77079185816737e-07	-0.861392006824208
chr8	84952544	84953425	Merged-chr8-84953007-47	Rtbdn	1.93234421702833e-07	-1.42662752163933
chr12	85955598	85956866	Merged-chr12-85956104-30	Tgfb3	1.96656667302807e-07	-1.01184439196842
chr15	100152181	100153810	Merged-chr15-100153234-50	Dip2b	1.98241972713131e-07	-1.05242562162247
chr17	67328999	67330376	Merged-chr17-67329642-55	Ptprm	2.02467413467756e-07	-0.878592690905782
chr4	28176785	28177130	Merged-chr4-28176947-13	Epha7	2.09735751153698e-07	-1.77355451822828
chr8	126755494	126756180	Merged-chr8-126755855-27	A630001O12Rik	2.12210205203006e-07	-2.0190822670487
chr6	100192341	100193393	Merged-chr6-100192867-55	Rybp	2.29590841765252e-07	-0.931211040191388
chr19	41371521	41372892	Merged-chr19-41372561-55	Pik3ap1	2.41374471667572e-07	-0.930379945547262
chr7	143079934	143080505	Merged-chr7-143080220-4	Tssc4	2.45263746185612e-07	-2.48903841919847
chr19	6293311	6293907	Merged-chr19-6293619-15	Cdc42bpg	2.63405541695097e-07	-1.7917948334326
chr10	91032173	91034494	Merged-chr10-91033376-100	Apaf1	2.67398028217077e-07	-0.674153786692751
chr18	23996412	23997832	Merged-chr18-23997100-57	Zfp35	2.69578978628331e-07	-0.842297842334508
chr2	26251948	26253865	Merged-chr2-26252892-46	Qsox2	2.71544576657624e-07	-1.05715639085898
chr3	51226401	51227079	Merged-chr3-51226721-7	Noct	2.75454715931938e-07	-1.18303124333746
chr10	75055668	75056170	Merged-chr10-75055912-26	Bcr	2.76888902641759e-07	-2.08366165070617
chr12	85623746	85625237	Merged-chr12-85624610-56	Jdp2	2.77776678256917e-07	-0.726321438701907
chr7	67050839	67051746	Merged-chr7-67051268-44	1700112J16Rik	2.82360667733679e-07	-1.59840291876523
chr4	57055211	57057568	Merged-chr4-57055921-55	Frrs1l	2.91570951001447e-07	-1.15886984799693
chr11	117724460	117725904	Merged-chr11-117724945-56	Tmc6	2.98652443346356e-07	-0.936034793950254
chr12	106033766	106035042	Merged-chr12-106034470-48	Vrk1	3.12189810930017e-07	-1.16359801722637
chr10	40383795	40384375	Merged-chr10-40384006-24	Cdk19	3.21318191986037e-07	-1.47598655463292
chr5	115002658	115003925	Merged-chr5-115003372-46	Sppl3	3.46482798720267e-07	-1.02486609064125
chr11	116337010	116337974	Merged-chr11-116337409-8	Foxj1	3.47394142067813e-07	-1.22103891388094
chr14	20251944	20253679	Merged-chr14-20253224-51	Kcnk16	3.55554087650699e-07	-2.11964622297096
chr9	120054475	120055952	Merged-chr9-120054981-57	Cx3cr1	3.58910349139407e-07	-0.902354976819654
chr12	111453877	111454757	Merged-chr12-111454327-34	Tnfaip2	3.61315506939658e-07	-1.2797529568067
chr8	72257153	72258102	Merged-chr8-72257525-37	Ap1m1	3.61598242521051e-07	-1.15875936532056
chr4	8662064	8663653	Merged-chr4-8663229-51	Chd7	3.65371196183453e-07	-0.672984639621697
chr15	80497263	80498526	Merged-chr15-80497863-55	Gm31369	3.76703962728905e-07	-0.89422867047391
chr9	40323853	40325194	Merged-chr9-40324468-52	Gramd1b	4.07478742580428e-07	-0.696383765665869
chr11	114872857	114873912	Merged-chr11-114873333-32	Cd300a	4.17485003723277e-07	-1.26388315782857
chr12	69906210	69909073	Merged-chr12-69908018-57	Map4k5	4.17485003723277e-07	-0.727273457245715
chr17	25565397	25565743	Merged-chr17-25565558-5	Sox8	4.20759524939913e-07	-1.97690417905241
chr3	89346950	89348244	Merged-chr3-89347461-18	Adam15	4.460022017607e-07	-1.8067390412902
chr11	22782663	22783388	Merged-chr11-22782980-39	B3gnt2	4.65373936496699e-07	-1.49230365278892
chr2	60773800	60775608	Merged-chr2-60774770-55	Itgb6	4.69963098057911e-07	-0.745029093426118
chr19	9071020	9072221	Merged-chr19-9071646-56	Scgb1a1	4.74378046118632e-07	-0.719651550714564
chr15	73125963	73127264	Merged-chr15-73126485-44	Chrac1	4.74424884962866e-07	-1.58604467108395
chr17	84107732	84108502	Merged-chr17-84108198-30	4933433H22Rik	4.96422155923103e-07	-1.53541564351123
chr10	75144984	75147023	Merged-chr10-75146173-57	Specc1l	5.01358590558381e-07	-0.777304768729632
chr2	151586089	151588225	Merged-chr2-151587203-57	Sdcbp2	5.07039914975332e-07	-0.871140335353291
chr3	123158401	123161275	Merged-chr3-123159449-69	Synpo2	5.20324833702492e-07	-0.598454435315192
chr12	104061485	104062394	Merged-chr12-104062057-31	Serpina4-ps1	5.23952578117554e-07	-1.12258913265828
chr17	34141549	34143789	Merged-chr17-34142921-57	H2-DMb2	5.35785859754224e-07	-0.588521921644119
chr10	78085872	78088228	Merged-chr10-78087106-57	Icosl	5.4103960320662e-07	-0.610132448875528
chr11	69665868	69666669	Merged-chr11-69666256-31	Cd68	5.48733945901649e-07	-0.947846193188114
chr2	172430621	172431114	Merged-chr2-172430843-20	Rtf2	5.61623970980538e-07	-2.06780454750049
chr1	182922600	182923411	Merged-chr1-182922918-37	Tlr5	5.65113133503808e-07	-1.90119938964755
chr7	31094269	31095359	Merged-chr7-31094996-29	Hpn	5.77160481016191e-07	-1.07101224869873
chr2	93368742	93369704	Merged-chr2-93369214-37	Gm13807	6.37357319595341e-07	-1.2565159879647
chr2	9801431	9804781	Merged-chr2-9803078-80	Gata3	6.45236148118842e-07	-0.91833918315867
chr5	30927730	30928584	Merged-chr5-30928107-16	Khk	6.58225663293911e-07	-1.37957162097556
chr13	49050509	49054118	Merged-chr13-49052745-62	Fam120aos	6.65310019569709e-07	-0.676385682674126
chr7	127921399	127923151	Merged-chr7-127922322-43	Prss8	6.92498539324378e-07	-1.21373298099458
chr11	70375789	70376518	Merged-chr11-70376257-30	Alox15	7.33601091165773e-07	-1.51360436570926
chr8	120478673	120479260	Merged-chr8-120478962-20	Gse1	7.48462719494671e-07	-1.42973505898257
chr18	20815320	20817223	Merged-chr18-20816236-69	B4galt6	7.4983279309609e-07	-0.741117070133588
chr14	121915448	121917139	Merged-chr14-121916295-57	Gpr18	7.5475724556027e-07	-0.623867562342249
chr5	140111712	140112470	Merged-chr5-140112049-19	Mad1l1	7.76745950848157e-07	-1.10213995936717
chr19	32950314	32951279	Merged-chr19-32950907-50	Pten	7.81512946769337e-07	-0.802331067583794
chr6	83482094	83483384	Merged-chr6-83482675-56	Dguok	7.94129318311697e-07	-0.957178356276279
chr1	164203322	164203775	Merged-chr1-164203498-11	Mir12178	8.26535926312927e-07	-2.0655338833538
chr12	76546560	76548615	Merged-chr12-76547626-54	AI463170	8.33669525545719e-07	-0.954034396103215
chr10	130313162	130314870	Merged-chr10-130314138-57	Tespa1	8.4852176467823e-07	-1.0026848199902
chr5	24412807	24413864	Merged-chr5-24413264-36	Asic3	8.51149816588263e-07	-1.01830164895926
chr7	81862501	81863662	Merged-chr7-81863266-37	Tm6sf1	8.51622824359028e-07	-0.709069674389411
chr5	65322136	65322650	Merged-chr5-65322357-11	Rfc1	8.5357142942717e-07	-2.1834468644595
chr8	120571772	120573256	Merged-chr8-120572627-42	Gins2	8.87278193243786e-07	-1.1886380380436
chr7	29294164	29295202	Merged-chr7-29294693-16	Ppp1r14a	8.89151762583702e-07	-1.27396486205091
chr9	77469071	77470727	Merged-chr9-77470072-57	5730403I07Rik	9.04949750140814e-07	-0.617949533638315
chr1	157016538	157018149	Merged-chr1-157017526-58	Ralgps2	9.11506524229537e-07	-0.917082787752091
chr5	139775144	139777720	Merged-chr5-139776351-100	Ints1	9.19674281155371e-07	-0.451925678767977
chr3	28551840	28552109	Merged-chr3-28551984-2	Mir466q	9.3615715090944e-07	-3.03227435748002
chr11	52268085	52269176	Merged-chr11-52268588-47	Tcf7	9.5691513224691e-07	-1.01648248946598
chr1	133298311	133299849	Merged-chr1-133299207-31	Golt1a	9.95553822678104e-07	-0.921240566931672
chr2	170310908	170311748	Merged-chr2-170311362-37	Bcas1os2	1.01659130198212e-06	-1.39868366701496
chr2	91724705	91726051	Merged-chr2-91725544-44	Ambra1	1.02076941923177e-06	-0.971688661800072
chr9	65534828	65536698	Merged-chr9-65535795-41	Ankdd1a	1.07583654809807e-06	-0.816714949340825
chr4	41063200	41065130	Merged-chr4-41064225-48	Aqp7	1.09389142192989e-06	-0.770141436457313
chr14	57536496	57538496	Merged-chr14-57537807-56	Il17d	1.12228755623454e-06	-0.714474554572447
chr5	115057823	115059610	Merged-chr5-115059023-57	Sppl3	1.13376391792303e-06	-0.814301682101113
chr11	3378862	3380349	Merged-chr11-3379623-54	Limk2	1.15281651917983e-06	-0.772567871508194
chr6	99187443	99189410	Merged-chr6-99188547-56	Mir12201	1.15873600766042e-06	-0.961339394753586
chr2	126473856	126476504	Merged-chr2-126475427-84	Atp8b4	1.16865061389916e-06	-0.75979659715384
chr16	94142708	94144001	Merged-chr16-94143482-40	Sim2	1.17396448909268e-06	-0.917203492510211
chr8	109563978	109564313	Merged-chr8-109564106-6	Dhx38	1.17580366056272e-06	-2.91912052880119
chr10	67581686	67582684	Merged-chr10-67582132-56	4930563J15Rik	1.20048538754287e-06	-0.821513244006169
chr14	70883977	70884872	Merged-chr14-70884445-16	Gfra2	1.20915725224245e-06	-1.68783063109688
chr5	53584367	53584881	Merged-chr5-53584667-10	Rbpj	1.23445291632449e-06	-1.66578988475778
chr9	57650531	57651473	Merged-chr9-57650954-55	Csk	1.23784923025905e-06	-0.739509037116043
chr1	92698913	92700126	Merged-chr1-92699403-51	Otos	1.29459177173897e-06	-1.1406309850048
chr2	119329009	119329507	Merged-chr2-119329291-19	Gm14207	1.29543333117812e-06	-0.91432011457418
chr5	111396045	111397135	Merged-chr5-111396397-17	Mn1	1.32464006242686e-06	-1.41991495176293
chr11	76593203	76594621	Merged-chr11-76593913-49	Abr	1.37028695124187e-06	-1.40689801978708
chr17	70965887	70966749	Merged-chr17-70966246-33	Myl12b	1.37196431590388e-06	-0.773082591865671
chr5	139666415	139667241	Merged-chr5-139666781-40	Micall2	1.3876678446433e-06	-1.03822947522493
chr6	72029189	72030475	Merged-chr6-72029798-43	9130221F21Rik	1.39139649904572e-06	-1.14494031299832
chr1	86300358	86302100	Merged-chr1-86301435-38	B3gnt7	1.40534834099898e-06	-0.80289711329239
chr11	95626456	95627496	Merged-chr11-95626993-33	Ngfr	1.41884860584158e-06	-1.26963800615144
chr5	96979243	96980854	Merged-chr5-96980181-57	Bmp2k	1.44317714671801e-06	-0.756407917047956
chr7	99387377	99387913	Merged-chr7-99387676-8	Gdpd5	1.4563016009208e-06	-1.53120453967751
chr3	55743391	55744810	Merged-chr3-55744075-46	Mab21l1	1.48527267663255e-06	-0.886508276067425
chr8	111261869	111262371	Merged-chr8-111262174-10	Glg1	1.48926230533265e-06	-0.974196726427154
chr4	135426218	135427590	Merged-chr4-135426833-41	Rcan3	1.49761974539408e-06	-1.04327781704269
chr10	81161129	81162732	Merged-chr10-81162248-49	Pias4	1.49959078534859e-06	-1.07468867482154
chr19	31507888	31508455	Merged-chr19-31508121-20	Prkg1	1.52729579306499e-06	-1.78581591807222
chr8	120156443	120156919	Merged-chr8-120156663-4	6430548M08Rik	1.56071371232806e-06	-1.63961716028107
chr7	45680549	45683443	Merged-chr7-45682135-91	Ntn5	1.58309352129781e-06	-0.440667342697571
chr18	35880856	35882162	Merged-chr18-35881457-42	Cxxc5	1.58587777662653e-06	-1.02066686627632
chr4	140944259	140945772	Merged-chr4-140945049-46	Gm13031	1.5858974542373e-06	-1.37868383798797
chr18	75488986	75490509	Merged-chr18-75489552-53	Gm10532	1.63447584420258e-06	-0.731359203575567
chr1	86189168	86189470	Merged-chr1-86189314-2	Armc9	1.64051072452559e-06	-2.56494666778889
chr8	13253755	13255136	Merged-chr8-13254271-54	Adprhl1	1.69172151475691e-06	-0.811092922040425
chr8	106836345	106837472	Merged-chr8-106836890-55	Has3	1.69271440111673e-06	-1.02606644464101
chr10	4106339	4108424	Merged-chr10-4107772-51	Gm30570	1.69524947347773e-06	-0.662502627461627
chr9	118589157	118590729	Merged-chr9-118590065-24	Itga9	1.69970742459955e-06	-0.960416668053457
chr11	116615408	116618121	Merged-chr11-116616641-58	Rhbdf2	1.76774799410916e-06	-0.56293689697174
chr4	138259322	138259925	Merged-chr4-138259627-36	Kif17	1.79802542659149e-06	-0.918401405765201
chr7	98809346	98809881	Merged-chr7-98809601-22	Wnt11	1.83374488432322e-06	-1.96025412451495
chr7	114356224	114357584	Merged-chr7-114356694-56	4933406I18Rik	1.84112312444308e-06	-0.871922666919029
chr2	18897254	18898706	Merged-chr2-18898044-56	Carlr	1.90837298669425e-06	-0.958055990015795
chr6	137139958	137143249	Merged-chr6-137141208-62	Rerg	1.92902341039001e-06	-0.630726016058532
chr19	22138711	22139642	Merged-chr19-22139214-50	Trpm3	1.92952224201654e-06	-0.710374036857764
chr6	117932220	117933371	Merged-chr6-117932836-31	Fxyd4	1.95169160733616e-06	-1.20390070760277
chr14	25599751	25601407	Merged-chr14-25600604-54	Gm45915	2.06752020913424e-06	-0.775557220278815
chr4	82734360	82736151	Merged-chr4-82735584-67	Zdhhc21	2.1195187454864e-06	-0.706060355550242
chr15	78610902	78611480	Merged-chr15-78611213-7	Cyth4	2.15773398878152e-06	-1.4503825851694
chr9	114506436	114508161	Merged-chr9-114507478-55	Ccr4	2.1610554352147e-06	-0.899370660948108
chr12	76593698	76594642	Merged-chr12-76594134-35	AI463170	2.19578372199485e-06	-1.31567641305525
chr1	87959747	87962719	Merged-chr1-87960741-70	Usp40	2.2109668043813e-06	-0.708912126465146
chr1	181811355	181812741	Merged-chr1-181812148-50	Lbr	2.27894401097121e-06	-0.984964651783372
chr10	81239587	81241160	Merged-chr10-81240548-22	Zfr2	2.29040503135605e-06	-0.798648809278099
chr7	101935730	101936138	Merged-chr7-101935974-3	Lrrc51	2.36209146300118e-06	-2.41925539934695
chr18	74293807	74295244	Merged-chr18-74294679-57	Cfap53	2.36596838965408e-06	-0.764586917282641
chr10	60737886	60740739	Merged-chr10-60739217-91	Slc29a3	2.36836403980808e-06	-0.618822237820918
chr7	12954673	12955992	Merged-chr7-12955119-56	Zfp324	2.36948462340114e-06	-0.887057356050497
