Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Juvenile_CD49bpos
chr5	137338183	137340148	Merged-chr5-137338924-57	Slc12a9	1.23725628022249e-09	0.538201695142232
chr5	24596445	24599004	Merged-chr5-24597499-64	Smarcd3	1.36651615331997e-09	0.444146274319643
chr10	28517811	28519107	Merged-chr10-28518519-50	Themis	1.66529929781139e-09	1.00130784329815
chr15	36647777	36650906	Merged-chr15-36649321-96	Pabpc1	1.68124764544913e-09	0.504862340808526
chr11	108214444	108216297	Merged-chr11-108215340-52	Prkca	2.05269401017128e-09	0.580904729314155
chr6	129229585	129230685	Merged-chr6-129230143-30	2310001H17Rik	2.17675671422862e-09	0.838689096430275
chr11	22799727	22801360	Merged-chr11-22800491-53	B3gnt2	2.43182405051016e-09	0.744008790344225
chr3	37311486	37313958	Merged-chr3-37312885-57	Bbs12	2.79912112428959e-09	0.523432184759429
chr14	26857960	26858853	Merged-chr14-26858446-39	Asb14	3.13499253040929e-09	1.69826194265592
chr16	90029400	90030653	Merged-chr16-90030035-36	Tiam1	3.21844422316467e-09	1.0107693961613
chr9	59659210	59661016	Merged-chr9-59660029-57	Pkm	3.43277186108771e-09	0.480549759237072
chr9	75546765	75547921	Merged-chr9-75547292-57	Tmod3	3.81667139076817e-09	0.573464641582197
chr11	79286171	79288548	Merged-chr11-79287524-60	Wsb1	3.82321875658721e-09	0.656327014558452
chr4	145321686	145324080	Merged-chr4-145323013-43	Tnfrsf8	4.38545453814494e-09	0.602181917124775
chr17	73066644	73069234	Merged-chr17-73067784-51	Lclat1	4.38600432627653e-09	0.684592145263724
chr7	64140802	64142297	Merged-chr7-64141534-57	Trpm1	4.62857857330323e-09	0.588920780067727
chr2	165241284	165243707	Merged-chr2-165242506-49	Cdh22	4.78995372384003e-09	0.668410024457358
chr9	25074628	25076815	Merged-chr9-25075955-30	Herpud2	4.88830555646224e-09	1.01115193528275
chr11	95088235	95089724	Merged-chr11-95088916-51	Itga3	5.03964912966455e-09	0.73703778704358
chr5	46926166	46927086	Merged-chr5-46926603-32	4930405L22Rik	5.11225861961644e-09	0.69822847466107
chr9	58940995	58942786	Merged-chr9-58941982-33	Neo1	5.68153661901055e-09	0.787786251032846
chr10	62843422	62844529	Merged-chr10-62844067-30	Tet1	6.06772521262225e-09	0.979123556500775
chr12	35746478	35748137	Merged-chr12-35747104-30	9130015A21Rik	6.19600216831442e-09	0.81506555299186
chr16	93196825	93198187	Merged-chr16-93197576-30	1810053B23Rik	6.29601646164475e-09	0.810124325377894
chr4	32334035	32338851	Merged-chr4-32336761-64	Bach2	6.35812571979724e-09	0.5954166195574
chrX	12466268	12468227	Merged-chrX-12467121-47	Gm14635	6.41283276620530e-09	0.930039905443725
chr11	31168040	31170389	Merged-chr11-31169748-37	Chac2	7.11990241945543e-09	0.901657815429272
chr2	79566152	79567947	Merged-chr2-79566708-33	Itprid2	7.56244867037346e-09	1.29854422790245
chr18	55133178	55135021	Merged-chr18-55134151-57	Zfp608	8.61405320132368e-09	0.614285388835454
chr10	110154679	110156247	Merged-chr10-110155691-32	Nav3	8.73308213699756e-09	0.84337574528798
chr2	180803059	180804695	Merged-chr2-180804069-33	Bhlhe23	9.06740221717179e-09	0.902898104951608
chr3	142559624	142561936	Merged-chr3-142560521-57	Gbp3	9.41856869071179e-09	0.4836534515564
chr9	90047770	90049153	Merged-chr9-90048445-41	Ctsh	9.49492947529795e-09	0.857877018261155
chr6	91971733	91973742	Merged-chr6-91972532-57	Fgd5	9.56643832789656e-09	0.490781966928266
chr9	94950361	94951147	Merged-chr9-94950770-54	Mir7656	9.64682922528222e-09	0.862627270570203
chr1	191182384	191186870	Merged-chr1-191184505-88	Atf3	9.75266906798656e-09	0.365161895265678
chr10	80928556	80931530	Merged-chr10-80929583-57	Gadd45b	1.00321891438968e-08	0.330855205235272
chr3	152492665	152494219	Merged-chr3-152493261-27	Zzz3	1.00602917109181e-08	1.1045717137197
chr2	36139067	36139583	Merged-chr2-36139331-11	Rbm18	1.00919128322436e-08	1.41628178073499
chr7	64248106	64250335	Merged-chr7-64249140-51	Mir6416	1.01640379224185e-08	0.73163056109127
chr9	115483419	115484683	Merged-chr9-115483943-29	Mir467h	1.017505255321e-08	0.815313933875977
chr13	60848303	60849530	Merged-chr13-60848952-44	4930486L24Rik	1.07188463293998e-08	0.984990854669794
chr6	81633335	81634393	Merged-chr6-81633766-27	Mir7232	1.21443322501085e-08	1.11932241038106
chr2	163812157	163813984	Merged-chr2-163813066-52	Ccn5	1.23653979305841e-08	0.659975070603425
chr16	8223427	8224654	Merged-chr16-8223988-17	Tmem114	1.24448361773175e-08	1.83668495025081
chr5	107767736	107768920	Merged-chr5-107768326-31	Gfi1	1.27267732120379e-08	0.613785040446542
chr6	57824077	57826159	Merged-chr6-57824912-57	Vopp1	1.31811288092366e-08	0.515134028394997
chr13	49392899	49394853	Merged-chr13-49393726-32	Ippk	1.38915638443391e-08	0.796532166179492
chr16	38620991	38623419	Merged-chr16-38622313-50	Tmem39a	1.41660720080543e-08	0.833996357342835
chr7	30086360	30086984	Merged-chr7-30086648-29	Zfp566	1.44976561143046e-08	0.840997140072692
chr6	48395104	48397832	Merged-chr6-48396326-79	Krba1	1.76223278332812e-08	0.483578334258895
chr17	88789971	88792488	Merged-chr17-88791252-45	Lhcgr	1.84399200951929e-08	0.558962215561066
chr17	44100605	44101348	Merged-chr17-44100994-36	Enpp4	1.88744999597955e-08	1.12256342586637
chr14	63880285	63881656	Merged-chr14-63881044-22	Pinx1	1.98665921391282e-08	1.12844259578803
chr10	53502812	53504037	Merged-chr10-53503502-33	Gm20597	2.04527958419176e-08	0.746735838502028
chr16	24237315	24239369	Merged-chr16-24238481-57	Lpp	2.08482816282449e-08	0.600890577941633
chr4	5799859	5800982	Merged-chr4-5800453-30	Fam110b	2.10064899591917e-08	0.725951964315072
chr13	97644844	97646435	Merged-chr13-97645459-50	Gm5086	2.30372742021493e-08	0.662014396602013
chr4	43058138	43060056	Merged-chr4-43059128-57	Unc13b	2.399512850324e-08	0.466665974811056
chr4	115794903	115795981	Merged-chr4-115795503-23	Atpaf1	2.44182918728693e-08	1.45092895671781
chr19	55876169	55878442	Merged-chr19-55877207-58	Tcf7l2	2.44539709633473e-08	0.674786171871422
chr12	9850157	9852330	Merged-chr12-9851697-26	Osr1	2.51947192470646e-08	1.30266752980843
chr7	125580495	125582015	Merged-chr7-125581381-56	Il21r	2.54173496739783e-08	0.54735778011286
chr17	32483055	32483850	Merged-chr17-32483401-52	Cyp4f17	2.5504914943197e-08	0.77941212172036
chr15	38470184	38474157	Merged-chr15-38472109-111	Mir6951	2.57345758810877e-08	0.31569969555454
chr5	137101960	137103833	Merged-chr5-137103140-57	Trim56	2.67689862400895e-08	0.555935539696759
chr6	17763806	17765413	Merged-chr6-17764421-55	St7	2.72938542401171e-08	0.858549779951947
chr9	95749349	95751033	Merged-chr9-95750213-57	Trpc1	2.75142759291149e-08	0.548799724867234
chr18	75278141	75279696	Merged-chr18-75278889-57	2010010A06Rik	2.95140881891889e-08	0.439758916004623
chr2	16745450	16746567	Merged-chr2-16746038-19	4930515L03Rik	3.15235130757327e-08	1.24152290408294
chr4	6989112	6991731	Merged-chr4-6990482-59	Tox	3.1825808625473e-08	0.444329241267344
chr5	125068260	125069008	Merged-chr5-125068651-23	Rflna	3.19409626055504e-08	1.13607251327784
chr11	48925968	48929027	Merged-chr11-48927383-58	Gm12185	3.45789301786279e-08	0.736703776467958
chr3	109010264	109011544	Merged-chr3-109010964-57	Fam102b	3.49473936892468e-08	0.944496996142296
chr12	35532257	35535518	Merged-chr12-35533799-81	Ahr	3.50341969993039e-08	0.42886053209406
chr1	16308971	16310147	Merged-chr1-16309434-29	Rdh10	3.50917911236186e-08	1.24592439598408
chr15	86219668	86220734	Merged-chr15-86220276-34	Tbc1d22a	3.70778707834904e-08	1.02571021536809
chr6	143530258	143531636	Merged-chr6-143530841-30	4930579D09Rik	3.7832706649301e-08	1.01858507799996
chr6	128835707	128839786	Merged-chr6-128837828-102	Klrb1b	3.80463670635434e-08	0.404884583595712
chr17	11482811	11483716	Merged-chr17-11483156-38	D17Ertd648e	3.86867898573676e-08	1.04427081233016
chr5	73363866	73365189	Merged-chr5-73364383-30	Ociad2	3.92765271285908e-08	1.03298427916399
chr19	40248787	40250222	Merged-chr19-40249599-30	Pdlim1	4.03101002958799e-08	0.724872772611329
chr11	32674506	32675289	Merged-chr11-32674876-14	Fbxw11	4.14860719123874e-08	1.58473178302116
chr10	23759480	23760814	Merged-chr10-23760163-28	Snora33	4.19344807349518e-08	1.25296142480164
chr17	35423626	35426756	Merged-chr17-35425164-57	H2-Q6	4.20019740517433e-08	0.481900306434268
chr8	95852083	95853791	Merged-chr8-95852970-57	Slc38a7	4.33043284058507e-08	0.578944238015347
chr9	63132078	63134235	Merged-chr9-63132927-57	Skor1	4.35688756692075e-08	0.439220672357705
chr9	60812929	60814089	Merged-chr9-60813529-49	Uaca	4.36286207915152e-08	0.643413699320741
chr3	14587209	14587945	Merged-chr3-14587569-13	E2f5	4.43705153447572e-08	1.44449668463819
chr7	25376416	25377530	Merged-chr7-25376811-39	4732471J01Rik	4.64587604619224e-08	0.63278294333865
chr11	18165415	18166878	Merged-chr11-18166111-30	Gm12018	4.66133037267152e-08	0.84346860331302
chr15	10742091	10743009	Merged-chr15-10742634-43	4930556M19Rik	4.67034188157006e-08	0.879342806913966
chr6	52011289	52013368	Merged-chr6-52012369-57	Skap2	4.67726955292178e-08	0.37193342510772
chr13	42883735	42884984	Merged-chr13-42884160-35	Phactr1	4.70533921360398e-08	1.10003881399707
chr6	109150504	109151165	Merged-chr6-109150812-26	Edem1	4.81179611030496e-08	0.897670755380374
chr19	31662751	31665507	Merged-chr19-31664313-55	Prkg1	4.83964263511744e-08	0.4658855118642
chr10	103367088	103369548	Merged-chr10-103368503-58	Slc6a15	4.98694049693162e-08	0.480224693852849
chr13	51169940	51172229	Merged-chr13-51171100-57	Nxnl2	4.98694049693162e-08	0.494733200291291
chr6	17362732	17364190	Merged-chr6-17363514-53	Cav1	5.0793159613099e-08	0.591507045986443
chr7	141040843	141042247	Merged-chr7-141041699-48	B4galnt4	5.19373865259046e-08	0.738148825432145
chr11	8678232	8679862	Merged-chr11-8679191-50	Tns3	5.22042560409235e-08	0.585571147211473
chr4	106293001	106294450	Merged-chr4-106293499-54	Usp24	5.22686264409591e-08	0.709176443288566
chr3	108060655	108062103	Merged-chr3-108061533-57	Gstm4	5.30139418109108e-08	0.611534047780868
chr8	111549958	111552108	Merged-chr8-111550892-59	Znrf1	5.46425811969038e-08	0.605264736330833
chr4	145366747	145367990	Merged-chr4-145367473-44	Tnfrsf8	5.59743665396537e-08	0.914167885201685
chr16	37383963	37386136	Merged-chr16-37384980-48	Stxbp5l	5.62614951911891e-08	0.670581602048521
chr8	118852186	118853519	Merged-chr8-118852986-15	Hsbp1	5.73974876281806e-08	1.3456895702361
chr15	42674235	42678166	Merged-chr15-42676084-74	Angpt1	5.76554297021983e-08	0.432594694363659
chr14	36288748	36289559	Merged-chr14-36289099-25	4930474N05Rik	5.77172222986826e-08	1.21518216039979
chr11	116086482	116089390	Merged-chr11-116088083-96	Wbp2	5.85760985457521e-08	0.379543992621108
chr5	27194214	27195735	Merged-chr5-27195104-57	Dpp6	6.07699967288544e-08	0.615608822414722
chr9	47589597	47590428	Merged-chr9-47590047-27	Cadm1	6.38173443602293e-08	1.22221480757769
chr7	110902818	110903826	Merged-chr7-110903342-30	Gm16336	6.4508105219481e-08	0.903594658701485
chr3	102755402	102757279	Merged-chr3-102756009-43	Tspan2os	6.74372473527048e-08	0.968065554770013
chr2	45169296	45172582	Merged-chr2-45170966-50	Zeb2	6.82880317130509e-08	0.552185057643605
chr13	48565891	48567110	Merged-chr13-48566475-57	Mirlet7a-1	7.18430034165798e-08	0.680808784408595
chr7	63211020	63213417	Merged-chr7-63212313-51	Chrna7	7.34510465231313e-08	0.691728174007052
chr1	189866441	189868306	Merged-chr1-189867497-50	Smyd2	7.44733788695925e-08	0.595990817301278
chr15	98682797	98684360	Merged-chr15-98683507-57	Rnd1	7.51968108802745e-08	0.71647792306065
chr10	117918967	117919769	Merged-chr10-117919312-13	4933411E08Rik	7.6011123658524e-08	1.58758259975738
chr16	78153036	78154365	Merged-chr16-78153556-29	E330011O21Rik	7.81716905037374e-08	1.0368041464361
chr14	63193126	63194624	Merged-chr14-63193701-56	Neil2	7.91177232645164e-08	0.713799227881296
chr13	48260401	48263240	Merged-chr13-48261665-50	Id4	8.17462488773952e-08	0.509939621118077
chr18	73541035	73542674	Merged-chr18-73541929-57	Mex3c	8.22410052405185e-08	0.602340759835448
chrX	137582154	137583644	Merged-chrX-137582977-44	Il1rapl2	8.45455174405448e-08	0.984256041819566
chr8	107114082	107116720	Merged-chr8-107115561-75		8.74836332778315e-08	0.472641634177237
chr10	119085796	119087574	Merged-chr10-119086786-48	1700064J06Rik	8.89338806175185e-08	0.505782459233485
chr1	54690016	54691154	Merged-chr1-54690718-43	Pgap1	8.98631294257215e-08	0.704883786383319
chr2	57229599	57230490	Merged-chr2-57230012-43	Gpd2	9.2077217421974e-08	0.821319282002303
chr12	31073442	31075822	Merged-chr12-31074617-57	Fam110c	9.32074428710551e-08	0.410148163566978
chr6	48784071	48786230	Merged-chr6-48785359-37	Gimap3	9.45073482544798e-08	0.753316808234143
chr4	21847324	21848842	Merged-chr4-21848033-57	Pnisr	9.46880283232317e-08	0.412090377516959
chr4	115731546	115733155	Merged-chr4-115732238-50	Efcab14	9.83618631595282e-08	0.511881581036012
chr14	25377634	25379366	Merged-chr14-25378535-57	Zmiz1	9.87292783743611e-08	0.470524743238964
chr12	70967816	70970201	Merged-chr12-70969051-57	Psma3	9.92343131021943e-08	0.430562810069104
chr16	63658244	63659324	Merged-chr16-63658758-29	Epha3	1.10361969562271e-07	0.979637816383227
chr4	132631045	132631752	Merged-chr4-132631341-18	Eya3	1.13962778382776e-07	1.48903722934917
chr17	4791251	4793200	Merged-chr17-4792218-57	4930517M08Rik	1.14394224078494e-07	0.715551100938798
chr6	87739284	87741089	Merged-chr6-87740188-50	Efcc1	1.18308717314216e-07	0.581738171909718
chr16	24910290	24911564	Merged-chr16-24910989-55	A230028O05Rik	1.18594755932273e-07	0.609704426569385
chr3	37616543	37617799	Merged-chr3-37617074-57	4930594O21Rik	1.22165234955158e-07	0.568270971329824
chr16	35869002	35872689	Merged-chr16-35870631-89	Parp14	1.2272698022497e-07	0.362542302152525
chr17	44353142	44353796	Merged-chr17-44353491-13	Clic5	1.23082263143264e-07	1.36301243780538
chr11	3912699	3914912	Merged-chr11-3913873-57	Slc35e4	1.27959068774157e-07	0.398459211736641
chr6	48725056	48726105	Merged-chr6-48725643-43	Gimap7	1.28178044416211e-07	1.00588563875083
chr4	8689400	8692604	Merged-chr4-8690957-57	Chd7	1.33979766503009e-07	0.444284189074178
chr4	136789249	136790730	Merged-chr4-136789904-36	Ephb2	1.34389314870578e-07	0.899252827863525
chr2	116941895	116943786	Merged-chr2-116942671-52	D330050G23Rik	1.39628054282261e-07	0.661651023775419
chr12	53350714	53352380	Merged-chr12-53351618-29	Npas3	1.43565290433149e-07	0.850875293455103
chr2	51981119	51982919	Merged-chr2-51982081-57	Nmi	1.44316721809297e-07	0.640544795068807
chr17	34391272	34392918	Merged-chr17-34392283-57	BC051142	1.44403892413255e-07	0.633983414977294
chr4	11695364	11697226	Merged-chr4-11696204-45	Gem	1.46792761459872e-07	0.522277251355098
chr10	80589365	80591105	Merged-chr10-80590212-57	Abhd17a	1.51006505218669e-07	0.442807721122206
chr1	179866048	179867007	Merged-chr1-179866565-25	Ahctf1	1.52859214936332e-07	1.20036414388715
chr12	111943333	111947181	Merged-chr12-111945434-61	5033406O09Rik	1.53331458373489e-07	0.332738631019895
chr14	87238610	87240122	Merged-chr14-87239415-29	Diaph3	1.5355328942679e-07	1.07858970569937
chr3	138494694	138496074	Merged-chr3-138495492-52	Metap1	1.53661462095965e-07	0.580772693451849
chr15	103085664	103087705	Merged-chr15-103086865-52	Hoxc4	1.58706568785955e-07	0.621961863376551
chr4	119737560	119740167	Merged-chr4-119738774-61	Hivep3	1.59230904183295e-07	0.398736536439604
chr2	125469745	125471290	Merged-chr2-125470717-37	Fbn1	1.60512009519182e-07	0.835943060266415
chr3	95052932	95055684	Merged-chr3-95053988-60	Psmd4	1.62083552117761e-07	0.489484004674909
chr19	24998288	25000531	Merged-chr19-24999362-57	Dock8	1.63287432600653e-07	0.437268238997129
chr1	168287462	168289396	Merged-chr1-168288168-45	Pbx1	1.70659918585246e-07	0.519196683470919
chr16	78216741	78218379	Merged-chr16-78217494-57	E330011O21Rik	1.71489587572517e-07	0.566738793615394
chr12	111412165	111413937	Merged-chr12-111413383-56	Exoc3l4	1.71928748022924e-07	0.553020946974813
chr15	74930436	74932031	Merged-chr15-74931009-57	Ly6e	1.74630219476168e-07	0.474090791166298
chr16	10737123	10738684	Merged-chr16-10738001-42	Socs1	1.78015332199518e-07	0.513844927247068
chr7	80368641	80371774	Merged-chr7-80370067-99	Man2a2	1.79910643558135e-07	0.389375316168721
chr7	67972364	67974148	Merged-chr7-67973459-57	Igf1r	1.92044355367223e-07	0.640649185783781
chrX	56736309	56736749	Merged-chrX-56736506-2	Fhl1	1.93601973890154e-07	2.07004617374512
chr11	103158379	103159749	Merged-chr11-103159093-57	Fmnl1	1.98206592868442e-07	0.507410900543228
chr15	34237403	34240110	Merged-chr15-34238682-60	Laptm4b	2.01177971048472e-07	0.445606507076398
chr10	128269937	128272067	Merged-chr10-128270569-58	Stat2	2.10796053652141e-07	0.444403615919806
chr17	83989755	83991427	Merged-chr17-83990697-57	8430430B14Rik	2.10908422563968e-07	0.413509688227209
chr1	184731527	184735850	Merged-chr1-184733785-97	Hlx	2.18449279033276e-07	0.344168761166
chr11	96269617	96273370	Merged-chr11-96271409-78	Hoxb9	2.22273870250904e-07	0.622552768678301
chr4	126552820	126554925	Merged-chr4-126553738-74	Clspn	2.25470530768606e-07	0.520388474362464
chr5	102044676	102046330	Merged-chr5-102045511-35	Wdfy3	2.27729628673393e-07	0.554384174203695
chr3	122942300	122944112	Merged-chr3-122943226-32	1810037I17Rik	2.28396058336675e-07	0.865355342130887
chr1	171036629	171038901	Merged-chr1-171037763-67	Fcgr4	2.31493522537013e-07	0.521505879430142
chr2	148598546	148600278	Merged-chr2-148599557-57	Nxt1	2.31556277973001e-07	0.667554190948691
chr17	35820924	35823876	Merged-chr17-35822438-78	Ier3	2.41218401399489e-07	0.328549173587639
chr17	34958208	34960367	Merged-chr17-34959547-57	Hspa1b	2.45864192159993e-07	0.475132985694711
chr11	107025461	107028904	Merged-chr11-107027064-91	1810010H24Rik	2.46686110840392e-07	0.379144681103211
chr13	54282012	54283484	Merged-chr13-54282776-44	Cplx2	2.49140119000477e-07	0.6434669953951
chr17	53566068	53570791	Merged-chr17-53568809-108	Kat2b	2.57654385874605e-07	0.301674825766852
chr8	81285722	81287333	Merged-chr8-81286550-43	Inpp4b	2.64518147523821e-07	0.863087053508717
chr4	58698734	58699793	Merged-chr4-58699323-33	Olfr267	2.70907901354736e-07	1.02888932369198
chr1	125504911	125505357	Merged-chr1-125505087-4	Slc35f5	2.76311164303621e-07	2.12251831632561
chr18	79850273	79851713	Merged-chr18-79850980-29	Gm36718	2.79215278644558e-07	1.03957385180161
chr2	30676259	30678759	Merged-chr2-30677230-56	Gm14486	2.8324235287725e-07	0.546159558420401
chr9	75548891	75549638	Merged-chr9-75549247-40	Tmod3	2.92196611136912e-07	0.720248193311364
chr2	165387591	165388690	Merged-chr2-165388105-40	Zfp334	2.92196611136912e-07	0.898096992066161
chr6	30459146	30461640	Merged-chr6-30460495-57	1700012C14Rik	2.93734490781195e-07	0.355708213648631
chr9	62856971	62859148	Merged-chr9-62857832-57	Calml4	2.97236397647048e-07	0.476519533079275
chr18	58658896	58660748	Merged-chr18-58659758-57	Isoc1	3.07563082063107e-07	0.485014328291377
chr6	122781282	122782997	Merged-chr6-122782410-56	Foxj2	3.13688156788393e-07	0.650599785856872
chr3	154691408	154692879	Merged-chr3-154692289-37	Erich3	3.16614061411533e-07	0.875084971539319
chr15	64302276	64304354	Merged-chr15-64303492-56	Asap1	3.18769953125468e-07	0.560885060998981
chr16	24234667	24235242	Merged-chr16-24234942-17	Gm46545	3.21476174508124e-07	0.921724142495602
chr3	138893239	138894193	Merged-chr3-138893655-32	Tspan5	3.26508789514062e-07	0.90519883048507
chr15	89058468	89061353	Merged-chr15-89059873-57	Panx2	3.26989344067761e-07	0.397980653545002
chr8	46844370	46845571	Merged-chr8-46844969-56	Irf2	3.29528049976368e-07	0.642914238833396
chr2	66965873	66967071	Merged-chr2-66966607-29	Scn7a	3.31059577939534e-07	1.20290153479675
chr13	102669312	102670351	Merged-chr13-102669886-29	Cd180	3.35861963195847e-07	0.654638496034908
chr8	9454863	9456037	Merged-chr8-9455396-45	4930453L07Rik	3.37285551060741e-07	0.799258219713029
chr18	45643902	45644832	Merged-chr18-45644406-22	Kcnn2	3.45619454552994e-07	1.2138122833636
chr6	125425067	125426944	Merged-chr6-125426081-63	Plekhg6	3.45866295675596e-07	0.412716799845915
chr6	99604513	99605317	Merged-chr6-99604919-28	Eif4e3	3.55554087650699e-07	1.00729603926069
chr10	8885187	8887033	Merged-chr10-8886059-57	Sash1	3.55554087650699e-07	0.44809624052235
chr16	44557642	44559411	Merged-chr16-44558396-57	Boc	3.55759345561091e-07	0.601329310297316
chr15	103357619	103359524	Merged-chr15-103358665-54	Mir6963	3.57181623038122e-07	0.580770589909099
chr11	120229857	120233904	Merged-chr11-120231847-91	2900052L18Rik	3.57709203031039e-07	0.324079995411108
chr15	6539631	6541252	Merged-chr15-6540224-51	Fyb	3.59981264247002e-07	0.636455190414751
chr5	123037987	123041514	Merged-chr5-123039626-82	Morn3	3.62134652982224e-07	0.358333715750778
chr10	62858909	62860389	Merged-chr10-62859458-42	Tet1	3.63057257999866e-07	0.744023090655278
chr3	100997716	100999296	Merged-chr3-100998552-57	Ttf2	3.81283488831802e-07	0.646058247257242
chr6	41025985	41027888	Merged-chr6-41027213-51	2210010C04Rik	3.81368212202592e-07	0.818602437928873
chr8	109862592	109863910	Merged-chr8-109863573-53	Phlpp2	3.81897861651727e-07	0.685076640799188
chr7	123096902	123098602	Merged-chr7-123098084-30	Tnrc6a	3.82269108618133e-07	1.02721476222982
chr8	88629947	88630599	Merged-chr8-88630296-22	Snx20	4.01028607190273e-07	0.876094302217847
chr2	92006756	92009072	Merged-chr2-92008075-58	Creb3l1	4.0226419522611e-07	0.348571811502016
chr9	69154157	69154712	Merged-chr9-69154389-10	Rora	4.03299494419077e-07	1.78104437612368
chr10	63346635	63347771	Merged-chr10-63347268-27	Sirt1	4.05725671402809e-07	1.10258562827437
chr4	124644967	124647628	Merged-chr4-124646022-70	Pou3f1	4.06413217201987e-07	0.574400879872197
chr5	92885258	92887198	Merged-chr5-92886320-30	Shroom3	4.17485003723277e-07	0.709834938129029
chr6	86832327	86834116	Merged-chr6-86833086-46	2610306M01Rik	4.21735614696759e-07	0.676175707858379
chr6	83004182	83006811	Merged-chr6-83005635-60	Dok1	4.22820726393459e-07	0.462917546406321
chr1	127975112	127977070	Merged-chr1-127976149-57	Rab3gap1	4.31585483388677e-07	0.592724696203037
chr11	30024111	30026661	Merged-chr11-30025447-79	Eml6	4.33921294307949e-07	0.39587478314592
chr10	80663389	80666792	Merged-chr10-80665287-84	Btbd2	4.43179381027214e-07	0.445924472642214
chr6	108880054	108881368	Merged-chr6-108880651-42	Edem1	4.44801200070157e-07	0.730325471911584
chr11	36151396	36153919	Merged-chr11-36152527-43	Wwc1	4.45264977532086e-07	0.603047360702694
chr3	55065865	55066986	Merged-chr3-55066396-33	4931419H13Rik	4.45977012408525e-07	0.745396481405784
chr2	168025750	168027567	Merged-chr2-168026871-39	Ripor3	4.5300830438974e-07	0.829793708646966
chr8	107253201	107255407	Merged-chr8-107254388-51	Mir5098	4.53452654793221e-07	0.50407123189618
chr4	87641263	87642294	Merged-chr4-87641741-35	Mllt3	4.58483004248705e-07	1.13376647726075
chr5	93245184	93246490	Merged-chr5-93245635-29	Ccng2	4.64574109515594e-07	1.32073545403719
chr8	82845763	82846946	Merged-chr8-82846278-55	Rnf150	4.71264754899282e-07	0.556509643886004
chr10	20134779	20136537	Merged-chr10-20135713-56	Map7	4.74361913796991e-07	0.441775559380793
chr13	37119817	37122199	Merged-chr13-37120688-66	F13a1	4.7719420813684e-07	0.798024983948246
chr17	81564932	81566741	Merged-chr17-81565816-40	Slc8a1	4.81481992438343e-07	0.872091014132931
chr6	14899133	14902620	Merged-chr6-14900992-65	Foxp2	4.81481992438343e-07	0.537764910552943
chr1	99881768	99882210	Merged-chr1-99881982-3	Cntnap5b	4.81481992438343e-07	2.64885602625243
chr18	38144179	38146950	Merged-chr18-38145230-60	Pcdh1	5.03505941821147e-07	0.499287968515693
chr16	43801325	43802573	Merged-chr16-43802013-57	Drd3	5.08743746218709e-07	0.736982784573609
chr10	68318260	68320374	Merged-chr10-68319440-37	4930545H06Rik	5.12485189333162e-07	0.828118997708919
chr1	48031691	48033754	Merged-chr1-48032954-31	Mir6350	5.15998247195396e-07	0.926448578767507
chr18	4352332	4355162	Merged-chr18-4353868-74	4833419F23Rik	5.1639194772401e-07	0.382370136519439
chr1	106316351	106317846	Merged-chr1-106317085-57	Phlpp1	5.27222283637997e-07	0.695553946395076
