Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Old_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Old_CD49bpos
chr13	113705946	113706648	Merged-chr13-113706255-20	Hspb3	0.0115995430821977	-1.01860655576505
chr5	62755559	62756501	Merged-chr5-62756051-48	Arap2	0.0122390361713004	-0.985950227351568
chr15	84512205	84514257	Merged-chr15-84512968-56	Rtl6	0.0136935642856688	-0.416319206349004
chr6	29195770	29196240	Merged-chr6-29195952-10	Impdh1	0.0136935642856688	-1.02458350521374
chr1	184962987	184963940	Merged-chr1-184963515-44	Mark1	0.0138470348894985	-0.742315935561362
chr19	53368673	53370562	Merged-chr19-53369871-54	Smndc1	0.0141825838437359	-0.513495589424758
chr5	67436868	67438095	Merged-chr5-67437719-52	Bend4	0.0141825838437359	-0.50219471424313
chr3	153895106	153896462	Merged-chr3-153895765-44	Msh4	0.0146089558328906	-0.781778197770556
chr4	71409534	71411205	Merged-chr4-71410090-40	Tle1	0.0146152093237054	-0.685640361762404
chr11	120039613	120042814	Merged-chr11-120041403-62	Aatk	0.0154578012982101	-0.520448887373378
chr5	125264551	125265156	Merged-chr5-125264831-24	Scarb1	0.0155251350874012	-1.04913881397192
chr19	5612977	5613412	Merged-chr19-5613202-7	Kat5	0.0155547204895472	-1.12664561182297
chr1	73072021	73073156	Merged-chr1-73072671-22	1700027A15Rik	0.0155547204895472	-0.828265656803292
chr9	99080747	99082560	Merged-chr9-99081469-44	Gm1123	0.0165331788118236	-0.71584331663675
chr17	44706371	44707331	Merged-chr17-44706812-17	Runx2	0.0166725216053784	-0.943615511654911
chr5	141043709	141045896	Merged-chr5-141044437-57	Card11	0.0170233044388167	-0.378854598107061
chr8	121994193	121995558	Merged-chr8-121994997-35	Mir7237	0.0177290999267415	-0.741008941143958
chr4	32905512	32907625	Merged-chr4-32906918-50	Ankrd6	0.0182607750323649	-0.554228704705727
chr11	119907127	119908157	Merged-chr11-119907624-45	Chmp6	0.0183898530637715	-0.60849330101426
chr11	93748724	93749321	Merged-chr11-93749022-17	Utp18	0.0183898530637715	-1.05780563700695
chr17	31136301	31136853	Merged-chr17-31136539-6	Tff3	0.0198940676914843	-1.09030154619148
chr4	139230438	139231426	Merged-chr4-139230937-56	Capzb	0.0200380579626348	-0.573658978463522
chr11	80857151	80857759	Merged-chr11-80857382-22	4930507D10Rik	0.0204273504795539	-0.910813644677229
chr17	34210420	34211473	Merged-chr17-34210821-55	Tap2	0.0209075896315021	-0.599017327444749
chr16	22001147	22002147	Merged-chr16-22001759-29	Liph	0.0212498965642794	-0.679938248707748
chr4	136892372	136895237	Merged-chr4-136893776-65	C1qc	0.021276997016324	-0.482028100669551
chr7	45004036	45005652	Merged-chr7-45004729-52	Irf3	0.0234089185922191	-0.515213249676377
chr11	88602119	88603078	Merged-chr11-88602641-41	0610039H22Rik	0.0241363264520717	-0.457163479802859
chr2	63922931	63923874	Merged-chr2-63923432-10	Fign	0.0243699213843583	-1.1574327275589
chr9	116159659	116161451	Merged-chr9-116160846-58	Tgfbr2	0.0250596976034181	-0.48076096733167
chr10	112803373	112804049	Merged-chr10-112803688-32	Gm3942	0.0256883547383423	-0.821378710608861
chr9	61426630	61427809	Merged-chr9-61427160-34	Tle3	0.0259705202163275	-0.600486187660493
chr9	63862378	63863281	Merged-chr9-63862718-44	Smad3	0.0261767358883668	-0.732499122223937
chr5	115627990	115628758	Merged-chr5-115628338-47	1110006O24Rik	0.0262224261982414	-0.515092731946807
chr18	81571449	81572651	Merged-chr18-81572123-49	Mir5127	0.0262347785241477	-0.866120786413853
chr11	87758403	87760922	Merged-chr11-87760061-43	Tspoap1	0.0263735354557432	-0.423490361023982
chr2	26606379	26607299	Merged-chr2-26606896-25	Agpat2	0.0263735354557432	-1.20632964926146
chr2	180704027	180705490	Merged-chr2-180704738-18	Dido1	0.0265293350273782	-0.566072848680741
chr14	22648574	22650192	Merged-chr14-22649686-44	4930405A10Rik	0.0281653139030999	-0.398678444434159
chr9	89669832	89670358	Merged-chr9-89670106-18	Tmed3	0.0288034659693299	-1.03925902251836
chr4	148033827	148034265	Merged-chr4-148034004-3	Clcn6	0.0288699665447193	-0.791652645055331
chr15	58875652	58877145	Merged-chr15-58876133-47	Trmt12	0.0290306233800248	-0.502625185003325
chr19	16074694	16076160	Merged-chr19-16075448-38	Gnaq	0.0294701348162913	-0.57512036262455
chr2	172437200	172438042	Merged-chr2-172437595-48	Rtf2	0.0297915797812943	-0.597195302984574
chr1	160306273	160310011	Merged-chr1-160308039-100	Mir1927	0.0297915797812943	-0.377838589898942
chr14	97570206	97571134	Merged-chr14-97570548-29	Dach1	0.0306165531828958	-0.667620093505599
chr16	64160870	64161305	Merged-chr16-64161044-6	Epha3	0.0308167754713613	-1.36516042709065
chr10	41604644	41605688	Merged-chr10-41605105-50	5730435O14Rik	0.0308167754713613	-0.578528937235384
chr7	12954673	12955992	Merged-chr7-12955119-56	Zfp324	0.0309836879058109	-0.611952554675822
chr5	67024356	67025322	Merged-chr5-67024900-39	Limch1	0.0312241291176252	-0.666402389515224
chr7	72202876	72203625	Merged-chr7-72203344-25	Mctp2	0.0325533919350114	-0.767674876638795
chr12	85673224	85674589	Merged-chr12-85674033-54	Batf	0.0325533919350114	-0.469786355145126
chr13	99502089	99504216	Merged-chr13-99503384-46	Map1b	0.0330591339886147	-0.603273609797104
chr4	43456265	43457726	Merged-chr4-43456915-29	Cd72	0.0337270091893266	-0.403744216498602
chr10	85034787	85035787	Merged-chr10-85035424-42	Fhl4	0.0337270091893266	-0.562131616361048
chr6	100795943	100796469	Merged-chr6-100796158-5	Ppp4r2	0.0337270091893266	-1.48372290843247
chr13	43165736	43167193	Merged-chr13-43166699-44	Tbc1d7	0.0341133619628652	-0.522872514258109
chr11	104666847	104668315	Merged-chr11-104667634-55	Itgb3	0.0343362976491964	-0.471204817760222
chr7	49252566	49253500	Merged-chr7-49253126-21	Nav2	0.0348419278804334	-0.864386315197098
chr6	17837435	17838306	Merged-chr6-17837892-52	St7	0.0351696773526218	-0.616498247555589
chr6	66953483	66955509	Merged-chr6-66954414-57	Gng12	0.0353442220250953	-0.483459971719566
chr17	27761302	27762440	Merged-chr17-27761916-49	Spdef	0.035578144767823	-0.616981396056315
chr6	52244806	52247175	Merged-chr6-52246159-60	Hoxa11	0.0357721521638093	-0.43135700334521
chr4	19696690	19699294	Merged-chr4-19697652-68	Wwp1	0.0366536198622057	-0.401188926191485
chr7	37520984	37521873	Merged-chr7-37521564-27	Zfp536	0.036946891021215	-0.986231304102249
chr11	51614415	51616115	Merged-chr11-51615744-55	Nhp2	0.036946891021215	-0.382024452447362
chr7	110955450	110957405	Merged-chr7-110956309-57	Mrvi1	0.0374233336116526	-0.353914971624379
chr5	24357339	24357877	Merged-chr5-24357597-44	Kcnh2	0.0378522083382195	-0.471356142153891
chr18	11966253	11967679	Merged-chr18-11967151-43	Mir1901	0.0378522083382195	-0.583815025239596
chr9	64345822	64347779	Merged-chr9-64346755-71	Dis3l	0.037951913434249	-0.508154487892556
chr11	120538445	120539896	Merged-chr11-120539180-56	Gcgr	0.0380254929382259	-0.509899996934344
chr1	78701925	78703791	Merged-chr1-78702934-57	Utp14b	0.0386495604509621	-0.383134651917289
chr11	98313540	98314679	Merged-chr11-98314030-56	Neurod2	0.0387145845004753	-0.468895852857525
chr6	84314880	84317582	Merged-chr6-84316152-80	Gm10445	0.039415397005783	-0.378724953272233
chr4	123146940	123148485	Merged-chr4-123147879-52	Ppie	0.0394891410641462	-0.461203172386958
chr5	136251152	136251446	Merged-chr5-136251295-6	Sh2b2	0.0397098823753453	-1.20369119535968
chr11	79573507	79574492	Merged-chr11-79574038-50	Rab11fip4	0.0398915067862458	-0.628765489402306
chr11	50631928	50633093	Merged-chr11-50632484-52	Adamts2	0.0403945538858343	-0.417354331547835
chr11	113614091	113615039	Merged-chr11-113614506-25	Sstr2	0.0403945538858343	-0.547598431020177
chr12	81206132	81206621	Merged-chr12-81206417-15	Gm3693	0.0405610343608852	-0.838900175893442
chr19	36272405	36274293	Merged-chr19-36273407-55	Pcgf5	0.0408284433842878	-0.471495945214997
chr5	121851333	121851920	Merged-chr5-121851639-4	Pheta1	0.041734344417915	-0.671198527237916
chr1	136247132	136248394	Merged-chr1-136247579-43	Gpr25	0.0418930217938155	-0.754624411566199
chr1	91960014	91960615	Merged-chr1-91960312-21	Twist2	0.0420273139556198	-0.95561232471058
chr10	44615230	44616249	Merged-chr10-44615811-32	Prdm1	0.0435591489707507	-0.803089170470789
chr16	97141579	97142569	Merged-chr16-97142119-43	Dscam	0.0442534541725467	-0.538805789987794
chr6	145311928	145312982	Merged-chr6-145312264-40	Gm15706	0.044260773391157	-0.648122653535726
chr8	91545450	91546050	Merged-chr8-91545733-16	Fto	0.045940996835764	-1.08909981200018
chr2	71734419	71736425	Merged-chr2-71735576-57	Platr26	0.0459912329034581	-0.472457029111828
chr10	29395010	29395357	Merged-chr10-29395171-6	Rnf146	0.0460361458178036	-1.22331849083359
chr17	51406358	51409474	Merged-chr17-51407820-74	C330011F03Rik	0.0463968220266131	-0.367518134288834
chr13	40845812	40847113	Merged-chr13-40846354-43	Gcnt2	0.0465824714606659	-0.49691797644302
chr4	67423842	67424943	Merged-chr4-67424290-42	Tlr4	0.0465824714606659	-0.718913118790156
chr10	75136480	75137975	Merged-chr10-75137410-57	Specc1l	0.047170859048446	-0.492510514329714
chr16	37689120	37691423	Merged-chr16-37690085-59	Ndufb4	0.0486853902148079	-0.376958173412762
chr5	102697180	102698329	Merged-chr5-102697873-29	Arhgap24	0.0486853902148079	-0.844162677391446
chr13	113702370	113702781	Merged-chr13-113702548-4	Hspb3	0.0487386280495304	-1.1784126942705
chr17	83997418	83999440	Merged-chr17-83998229-57	8430430B14Rik	0.0488380630870243	-0.444065803427466
chr9	84281074	84282410	Merged-chr9-84281823-53	Bckdhb	0.0492621966097958	-0.588389613255217
chr4	125056764	125057698	Merged-chr4-125057327-20	Dnali1	0.0492621966097958	-0.645664525257587
chr10	75144984	75147023	Merged-chr10-75146173-57	Specc1l	0.0493352189217709	-0.47171863620322
chr9	75099890	75101343	Merged-chr9-75100558-54	Myo5a	0.0493371987427555	-0.532720204479788
chr6	91740024	91742122	Merged-chr6-91741251-57	Slc6a6	0.0496009161901046	-0.399499610649201
