Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Old_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Old_CD49bpos
chr12	16869983	16871215	Merged-chr12-16870685-52	Rock2	0.00366993626115493	0.406332103040836
chr1	160877943	160879472	Merged-chr1-160878819-28	Rc3h1	0.00366993626115493	0.711675894413234
chr12	101766168	101768041	Merged-chr12-101767031-43	Tc2n	0.00367473401389895	0.429402467772701
chr15	95951264	95952593	Merged-chr15-95951850-50	LOC102634389	0.00369730936146017	0.629619809562235
chr19	60608656	60609212	Merged-chr19-60608873-13	Cacul1	0.00375366828823764	1.18713616033139
chr11	9985945	9987010	Merged-chr11-9986390-26	Abca13	0.00392762195419242	0.934768788937623
chr9	32142804	32143433	Merged-chr9-32143086-34	Arhgap32	0.00392762195419242	0.697446525722728
chr5	66785934	66787765	Merged-chr5-66786688-40	Limch1	0.00392762195419242	0.627272238136576
chr6	91971733	91973742	Merged-chr6-91972532-57	Fgd5	0.00409870859946944	0.336803670344106
chr9	79885397	79886690	Merged-chr9-79885855-37	Filip1	0.00421855643072793	0.500895050437285
chr5	107722825	107727171	Merged-chr5-107725224-59	Gfi1	0.00422016604905815	0.317306384513337
chr2	152741104	152742704	Merged-chr2-152741992-57	Id1	0.0045397340655557	0.368274537247498
chr11	81095550	81096565	Merged-chr11-81096128-6	Asic2	0.00483800788060342	1.14693350533885
chr13	44418800	44420653	Merged-chr13-44419853-55	1700029N11Rik	0.00483800788060342	0.522311867324484
chr11	75051560	75052352	Merged-chr11-75051936-27	Mir684-1	0.00587637999622774	0.730572037579862
chr14	22586983	22588318	Merged-chr14-22587689-44	4930405A10Rik	0.00596950324964407	0.58793893398986
chr13	11836488	11837751	Merged-chr13-11837073-30	Ryr2	0.00601957254471358	0.645464613771977
chr4	112266692	112268697	Merged-chr4-112267461-30	Skint3	0.00609120150265665	0.699807300853884
chr1	135770687	135772294	Merged-chr1-135771325-27	Phlda3	0.00629151666466714	0.640861696056727
chr10	20076824	20077862	Merged-chr10-20077367-39	Map7	0.00651611960265482	0.959464949158121
chr1	162476098	162478642	Merged-chr1-162477692-57	Dnm3	0.00654934051025435	0.323646705714866
chr1	130508128	130509362	Merged-chr1-130508717-32	Cd55	0.00656371801694973	0.553816706185007
chr2	26341480	26343392	Merged-chr2-26342384-38	Dnlz	0.00702263617912648	0.362864464325148
chr15	92112391	92113356	Merged-chr15-92112896-7	Cntn1	0.00712052733461882	1.2938371063509
chr13	71458218	71459458	Merged-chr13-71458752-31	Mir466f-4	0.00712052733461882	0.830482962015838
chr16	91969361	91971776	Merged-chr16-91970393-49	Atp5o	0.00719128328392795	0.306417207443436
chr7	25625802	25628566	Merged-chr7-25627121-60	B3gnt8	0.0074257363496265	0.326506030022837
chr10	110793343	110796126	Merged-chr10-110794718-58	E2f7	0.00757303404988124	0.314323823340748
chr17	10389853	10391114	Merged-chr17-10390552-29	A230009B12Rik	0.00798240521358863	0.656464852398642
chr9	90047770	90049153	Merged-chr9-90048445-41	Ctsh	0.00798240521358863	0.556472924146596
chr5	33818651	33821676	Merged-chr5-33820343-57	Nsd2	0.00798240521358863	0.24736093553215
chr1	52660143	52660798	Merged-chr1-52660446-13	Nemp2	0.00798240521358863	1.2284144770001
chr6	11534653	11535655	Merged-chr6-11535148-21	Ndufa4	0.0080200999257706	0.710280822204273
chr6	91488589	91489644	Merged-chr6-91489028-56	Tmem43	0.00815845185401798	0.475957764533179
chr2	35840636	35842169	Merged-chr2-35841572-57	9030204H09Rik	0.00819343132052486	0.420828910037299
chr6	145499002	145500450	Merged-chr6-145499834-27	Lmntd1	0.008252457259581	0.76453984891339
chr15	73464656	73468138	Merged-chr15-73466751-58	Ptk2	0.00829586632673425	0.484771114726967
chr1	15678220	15681022	Merged-chr1-15679873-35	Terf1	0.00839194100557359	0.66892090063649
chr4	106847196	106849074	Merged-chr4-106848177-52	Acot11	0.00841731929445068	0.415117111124939
chr16	34744169	34746419	Merged-chr16-34745386-56	Mylk	0.00887094659257948	0.487096985238676
chr16	35317487	35320269	Merged-chr16-35319183-49	Sec22a	0.00897431664241835	0.43119514586928
chr6	53727042	53729043	Merged-chr6-53727951-29	Tril	0.00904169885106115	0.452226705681255
chr1	159045473	159046759	Merged-chr1-159046044-31		0.00912531579222954	0.644066054976715
chr18	12807931	12811412	Merged-chr18-12809790-72	Osbpl1a	0.00917538290106624	0.24857163310549
chr4	11989251	11991017	Merged-chr4-11990103-57	1700123M08Rik	0.00917538290106624	0.450506948678655
chr2	73891848	73893594	Merged-chr2-73892711-57	Atf2	0.00917538290106624	0.315169750218981
chr19	29250673	29254237	Merged-chr19-29252619-70	Jak2	0.00917538290106624	0.211621653046651
chr1	153835703	153836470	Merged-chr1-153836138-29	Rgsl1	0.00949071371002808	0.994804939412186
chr5	123037987	123041514	Merged-chr5-123039626-82	Morn3	0.00982673427584017	0.257341889082117
chr14	16713880	16715380	Merged-chr14-16714632-19	Rarb	0.00982673427584017	0.808246398576879
chr7	110902818	110903826	Merged-chr7-110903342-30	Gm16336	0.00985233622679962	0.611647418471662
chr3	61812328	61813490	Merged-chr3-61812887-12	Rap2b	0.0100239239910983	1.14448957859432
chr8	4492362	4494371	Merged-chr8-4493435-57	Cers4	0.0100383294876513	0.231489217504
chr18	23867415	23869393	Merged-chr18-23868535-31	Mapre2	0.0100495772065719	0.880623530696327
chr9	63793524	63794721	Merged-chr9-63794060-34	Smad3	0.0101901828513121	1.18069127669678
chr6	30252172	30253549	Merged-chr6-30252743-32	Ube2h	0.0103653023454951	0.5731318618861
chr2	167833413	167835078	Merged-chr2-167833871-52	Ptpn1	0.0104132247476893	0.487228429832828
chr6	80301690	80302655	Merged-chr6-80302150-55	Lrrtm4	0.0104132247476893	0.425690349879456
chr7	6695911	6696970	Merged-chr7-6696531-28	Zim1	0.0104132247476893	0.821843878496461
chr15	74960372	74961274	Merged-chr15-74960966-36	Ly6e	0.0108120011431927	0.680986956283975
chr17	84332751	84333311	Merged-chr17-84333016-8	Thada	0.0109005465131218	1.01090597063211
chr5	151053867	151055546	Merged-chr5-151054558-34	Kl	0.0109485227974654	0.679106096238332
chr1	138348257	138349137	Merged-chr1-138348681-42	Atp6v1g3	0.0111422858791001	0.670967086545421
chr7	81133706	81135416	Merged-chr7-81134881-57	Slc28a1	0.0111422858791001	0.350010616385996
chr13	69738219	69740957	Merged-chr13-69739483-58	Ube2ql1	0.011276456555895	0.414760862213025
chr17	57108809	57109112	Merged-chr17-57108946-3	Gm11110	0.0113067642392453	1.44520324078945
chr7	4971762	4973120	Merged-chr7-4972578-43	Sbk3	0.0113478303095568	0.638174439243318
chr5	121214689	121216502	Merged-chr5-121215681-56	Hectd4	0.0114296363102649	0.508470416175756
chr9	102725438	102727088	Merged-chr9-102726319-44	Amotl2	0.0114296602274699	0.397823876235252
chr9	102550705	102552484	Merged-chr9-102551449-30	Ky	0.0115037359464235	0.477599226455922
chr11	96269617	96273370	Merged-chr11-96271409-78	Hoxb9	0.0115995430821977	0.436002139136472
chr12	112606966	112607533	Merged-chr12-112607254-4	Adssl1	0.0117959742997489	1.44631462560544
chr1	131866288	131868344	Merged-chr1-131867507-57	Rab29	0.0121715321134289	0.268429470066641
chr7	28385841	28386926	Merged-chr7-28386519-57	Med29	0.0121715321134289	0.410737005111678
chr4	140630537	140632305	Merged-chr4-140631182-56	Arhgef10l	0.0123070634134423	0.490731352444952
chr6	54939221	54941570	Merged-chr6-54940268-56	Nod1	0.0123070634134423	0.513402874760353
chr5	66941517	66942677	Merged-chr5-66942117-26	Limch1	0.0126199692750889	0.891082847612569
chr4	155788001	155789087	Merged-chr4-155788466-30	Ankrd65	0.0129037334882389	0.451521261119704
chr11	59901917	59902945	Merged-chr11-59902473-47	1810063I02Rik	0.0130362909909614	0.510502377009149
chr10	82353906	82355116	Merged-chr10-82354437-57	Zfp938	0.0130362909909614	0.343926688758628
chr7	17057989	17058950	Merged-chr7-17058453-57	Hif3a	0.0133894779448623	0.466308389179874
chr9	61664125	61664385	Merged-chr9-61664255-1	Rplp1	0.0134083311657469	1.17216618040572
chr8	18910386	18913492	Merged-chr8-18911995-74	Xkr5	0.0134083311657469	0.394404595034808
chr5	76652354	76653896	Merged-chr5-76653142-28	Cep135	0.0134939105642853	0.489267147184871
chr1	172579557	172581063	Merged-chr1-172580365-13	Slamf8	0.0135004655304943	0.757691099978924
chr8	122719415	122721551	Merged-chr8-122720479-58	Cbfa2t3	0.0136245294902622	0.233306771932631
chr3	152722329	152723443	Merged-chr3-152722930-31	Pigk	0.0136245294902622	0.496471014505946
chr7	114762413	114763436	Merged-chr7-114762865-29	Insc	0.0136245294902622	0.827401839868289
chr5	21139403	21140021	Merged-chr5-21139727-17	Gsap	0.0136935642856688	0.733682536252237
chr2	34912411	34915432	Merged-chr2-34913919-57	Phf19	0.0136935642856688	0.285270569927991
chr5	118244544	118246138	Merged-chr5-118245250-57	2410131K14Rik	0.013746599982667	0.399869429414688
chr12	105397414	105399017	Merged-chr12-105398400-44	Gm2721	0.0138917600604533	0.706971537673174
chr6	21998036	22000043	Merged-chr6-21998846-47	Cped1	0.0141516058467683	0.534413713883608
chr3	138893239	138894193	Merged-chr3-138893655-32	Tspan5	0.0141516058467683	0.615836044666103
chr1	133977874	133979325	Merged-chr1-133978697-45	Prelp	0.0144821226122086	0.548996152747448
chr8	35339822	35341114	Merged-chr8-35340533-31	Ppp1r3b	0.0147732043626259	0.692775297670063
chr2	124684444	124685350	Merged-chr2-124684869-15	Sema6d	0.0148565654387387	0.896955964732271
chr1	15286001	15287876	Merged-chr1-15286825-37	Kcnb2	0.0148941010156298	0.610880566065155
chr13	16011598	16013202	Merged-chr13-16012285-57	Inhba	0.0149645224532338	0.327194999202654
chr2	146258830	146259692	Merged-chr2-146259268-18	A930019D19Rik	0.0149645224532338	0.800081021090927
chr8	121668062	121669847	Merged-chr8-121669059-24	Zcchc14	0.0149781503975141	0.544211544922775
chr12	98572006	98572927	Merged-chr12-98572442-44	Kcnk10	0.0150147470438314	0.46617098238933
chr10	66928164	66929026	Merged-chr10-66928573-9	1110002J07Rik	0.0152556982349269	0.843914591919538
chr12	72755496	72756447	Merged-chr12-72755956-31	Ppm1a	0.0155251350874012	0.442717892044532
chr8	35201163	35202260	Merged-chr8-35201696-50	Ppp1r3b	0.015742322087704	0.349246658796623
chr14	115192725	115194283	Merged-chr14-115193643-36	Gpc5	0.015742322087704	0.734610091414978
chr8	84893186	84894486	Merged-chr8-84893856-57	Gcdh	0.0157982367939357	0.295428404526061
chr11	115364966	115368022	Merged-chr11-115366926-65	Hid1	0.0158042565700133	0.287410390752026
chr14	120514718	120516097	Merged-chr14-120515298-35	Rap2a	0.0158042565700133	0.719199857063796
chr18	54249726	54251395	Merged-chr18-54250800-30	Redrum	0.0158817061071788	0.431051584165756
chr16	41912706	41915037	Merged-chr16-41914182-30	Lsamp	0.0160073224275294	0.57163608798265
chr11	95085851	95087327	Merged-chr11-95086311-23	Itga3	0.0160073224275294	0.50041475288136
chr2	32534278	32537819	Merged-chr2-32536066-88	Fam102a	0.016361483200804	0.238601168553886
chr1	54870519	54872354	Merged-chr1-54871222-56	Ankrd44	0.016361483200804	0.372245848135261
chr10	86273131	86274409	Merged-chr10-86273923-26	Timp3	0.016361483200804	0.536590593210069
chr10	6895329	6896676	Merged-chr10-6895940-24	Ipcef1	0.0163635924095228	0.732037163433232
chr16	78300743	78303340	Merged-chr16-78301978-59	Cxadr	0.0165331788118236	0.328515958454563
chr18	60482649	60484332	Merged-chr18-60483074-24	Smim3	0.0165331788118236	0.728005663191841
chr2	119674423	119676758	Merged-chr2-119675234-57	Rtf1	0.0165331788118236	0.275152200425592
chr10	78357637	78359175	Merged-chr10-78358224-30	Agpat3	0.0166725216053784	0.476801058388751
chr1	15683134	15684235	Merged-chr1-15683755-30	Terf1	0.0166932983304105	0.659586386759595
chr11	81151509	81154083	Merged-chr11-81152687-46	Asic2	0.0166989838067289	0.46265124729816
chr14	122911882	122914484	Merged-chr14-122912974-56	Ggact	0.0166989838067289	0.393256128575718
chr19	43598782	43601816	Merged-chr19-43600372-58	Nkx2-3	0.0167291814170856	0.230514309433279
chr2	17729698	17732255	Merged-chr2-17730928-56	Nebl	0.0168562306209936	0.345772624291896
chr9	12496436	12497593	Merged-chr9-12497039-27	4930568E12Rik	0.0168562306209936	0.584486583277462
chr10	39415345	39416136	Merged-chr10-39415708-14	Fyn	0.0168876695419419	0.731302628068963
chr2	137204088	137205254	Merged-chr2-137204621-22	Jag1	0.0169817072266089	0.74624647623676
chr2	73213430	73214953	Merged-chr2-73214243-57	Ola1	0.0171351455504482	0.361699753377037
chr4	154584502	154587964	Merged-chr4-154586151-68	Gm13133	0.0172078695338317	0.345931188945268
chr18	61394760	61395233	Merged-chr18-61394982-12	Mir378a	0.0173546680868572	0.750328438867891
chr5	44494042	44495639	Merged-chr5-44494897-15	Tapt1	0.017677042152074	0.723154702442881
chr16	32113301	32115698	Merged-chr16-32114359-83	Cep19	0.0179196712893737	0.251951860502652
chr1	43337216	43338693	Merged-chr1-43337660-24	Nck2	0.0179922065383312	0.655330369247096
chr12	83920875	83922590	Merged-chr12-83921806-57	Numb	0.0181124860360628	0.255630827946173
chr10	126930377	126931047	Merged-chr10-126930815-18	Gm30539	0.0181124860360628	0.769664598967344
chr10	43588135	43589490	Merged-chr10-43588738-57	F930017D23Rik	0.0182851066947854	0.399943551837866
chr15	103529253	103530992	Merged-chr15-103530320-53	Ppp1r1a	0.0182943579753331	0.451808696143619
chr18	69644191	69645539	Merged-chr18-69644844-42	Ccdc68	0.0183898530637715	0.479219718510712
chr6	88063867	88065749	Merged-chr6-88064925-56	Rab7	0.0183898530637715	0.290752191034482
chr5	135263653	135265444	Merged-chr5-135264576-57	Fzd9	0.0183898530637715	0.323346808636357
chr2	112265270	112268202	Merged-chr2-112266626-85	Slc12a6	0.0183898530637715	0.262383265330805
chr13	51022445	51024037	Merged-chr13-51023138-41	9430083A17Rik	0.0183898530637715	0.488614834527013
chr10	68681185	68682509	Merged-chr10-68681632-20	Tmem26	0.0183898530637715	0.726784512561782
chr7	67972364	67974148	Merged-chr7-67973459-57	Igf1r	0.0190853868935059	0.419709896319111
chr14	103815429	103817919	Merged-chr14-103816442-58	Ednrb	0.0193807937522933	0.431470888414068
chr8	12427470	12429729	Merged-chr8-12428284-28	Sox1	0.0194811251809072	0.596186946823242
chr17	83861169	83863140	Merged-chr17-83862135-57	C430042M11Rik	0.0194811251809072	0.292677067745456
chr13	30334838	30337906	Merged-chr13-30336756-48	Agtr1a	0.0196005354023239	0.436062251040358
chr11	96410402	96411344	Merged-chr11-96411027-11	Hoxb1	0.0196440465826629	0.682289427654554
chr10	86101853	86103060	Merged-chr10-86102539-22	4930486F22Rik	0.019778032331733	0.738485036907924
chr7	142519209	142520590	Merged-chr7-142519928-25	Prr33	0.0197854334405188	0.581316822913658
chr2	24384698	24387358	Merged-chr2-24386006-57	Psd4	0.0198940676914843	0.223513032458616
chr3	153661954	153664719	Merged-chr3-153663632-43	St6galnac3	0.0198940676914843	0.325427669225522
chr13	11535520	11537448	Merged-chr13-11536698-30	Zp4-ps	0.02036165850332	0.683729898929056
chr19	31705488	31706586	Merged-chr19-31706019-18	Prkg1	0.0204273504795539	0.734322096825979
chr4	133016202	133017351	Merged-chr4-133016770-14	Ahdc1	0.0204273504795539	0.447449468937617
chr14	49701953	49702861	Merged-chr14-49702366-14	Armh4	0.0204273504795539	0.948114566099824
chr16	93913604	93914561	Merged-chr16-93914174-50	Cldn14	0.0204664124693317	0.524116456538624
chr17	36697418	36698152	Merged-chr17-36697840-14	H2-M1	0.0205499442050556	0.976877071781474
chr4	65491477	65492247	Merged-chr4-65491833-25	Trim32	0.0206707772336108	0.726005306861678
chr10	128719935	128721440	Merged-chr10-128720576-30	Pmel	0.0207182717258161	0.59205287499382
chr3	81943506	81944231	Merged-chr3-81943834-18	Ctso	0.0207322382886074	0.791837913097462
chr3	36449213	36450080	Merged-chr3-36449516-23	Mir7009	0.0208614654048203	0.69413587307948
chr19	8988888	8990673	Merged-chr19-8989782-56	Ahnak	0.020910513583181	0.364594286358382
chr3	108781369	108781949	Merged-chr3-108781638-13	Aknad1	0.0209926587778717	0.928306570390971
chr12	84531913	84532925	Merged-chr12-84532377-29	Vsx2	0.0210602859807464	0.740008625936275
chr11	96673391	96674495	Merged-chr11-96673917-48	Snx11	0.021276997016324	0.414270043301753
chr1	59912413	59914264	Merged-chr1-59913373-57	Fam117b	0.021284171077508	0.236817029730731
chr9	120690663	120692470	Merged-chr9-120691486-53	5830454E08Rik	0.0213843726149952	0.378796771496718
chr7	115410993	115412320	Merged-chr7-115411647-32	Sox6	0.021461516669828	0.534573020730666
chr2	38530563	38531536	Merged-chr2-38531039-47	Nek6	0.0216009339607363	0.365275111937143
chr12	108332874	108334784	Merged-chr12-108333824-57	Cyp46a1	0.0216029125263516	0.253005411525452
chr9	60742952	60745033	Merged-chr9-60744050-63	Larp6	0.021984613805419	0.354078473256966
chr8	120151865	120153581	Merged-chr8-120152779-57	6430548M08Rik	0.021984613805419	0.464511838886468
chr8	79159329	79160907	Merged-chr8-79159984-50	1700011L22Rik	0.0219908867348294	0.454330376448986
chr18	15019952	15022090	Merged-chr18-15021525-38	4933424G05Rik	0.0220460871554625	0.34440807354647
chr11	6313701	6314786	Merged-chr11-6314161-39	Ogdh	0.0220460871554625	0.746097399005834
chr17	33977902	33979414	Merged-chr17-33978840-57	H2-K2	0.0221052293124532	0.273525912211474
chr10	37279276	37281133	Merged-chr10-37280264-30	Marcks	0.0223177148636028	0.511451503007946
chr14	49258495	49259700	Merged-chr14-49259106-23	ccdc198	0.0223177148636028	0.927970305539012
chr1	133891543	133893476	Merged-chr1-133892806-50	Optc	0.0223999294209572	0.300123304849436
chr16	84378180	84379111	Merged-chr16-84378650-10	4930553E22Rik	0.0227903987214195	0.965214097477718
chr9	102267182	102268361	Merged-chr9-102267742-25	Mir7243	0.0232451838282323	0.660244440019408
chr4	55762239	55763750	Merged-chr4-55763213-47	Klf4	0.0234655202247672	0.666449458649927
chr11	5214220	5216174	Merged-chr11-5215190-55	Kremen1	0.0235512311002483	0.268373338393475
chr6	84587329	84590762	Merged-chr6-84589086-101	Cyp26b1	0.0235512311002483	0.270666305391144
chr16	40764573	40765694	Merged-chr16-40765086-18	Lsamp	0.0236471998704911	0.740780771251026
chr7	125434444	125435552	Merged-chr7-125434940-38	Kdm8	0.0239202279882634	0.517036345870026
chr13	58358373	58359820	Merged-chr13-58359098-57	Kif27	0.0240399317780634	0.320318438777853
chr11	100858726	100861788	Merged-chr11-100860236-61	Stat5a	0.0241311635463498	0.22241353528179
chr10	68318260	68320374	Merged-chr10-68319440-37	4930545H06Rik	0.0243159197421163	0.541857994958574
chr2	170837619	170839306	Merged-chr2-170838390-24	Dok5	0.0243699213843583	0.82396190060248
chr13	3749037	3751807	Merged-chr13-3750594-55	Calml3	0.0245684399302683	0.5529491775365
chr6	82083635	82085137	Merged-chr6-82084404-41	Eva1a	0.0245841083172943	0.423115037551486
chr14	98847724	98849422	Merged-chr14-98848812-39	Mzt1	0.0245841083172943	0.535411509154302
chr7	132315343	132317828	Merged-chr7-132316609-57	Chst15	0.0249665143559554	0.23101010732347
chr2	165967493	165969491	Merged-chr2-165968506-48	Ncoa3	0.0250003745800755	0.530976437856334
chrX	47917982	47918537	Merged-chrX-47918223-26	Ocrl	0.0250222207471804	0.722050197454184
chr1	4671052	4672241	Merged-chr1-4671690-37	Mrpl15	0.0250596976034181	0.643775561048074
chr13	29609875	29611363	Merged-chr13-29610626-30	Cdkal1	0.0250596976034181	0.534382547906199
chr12	79130059	79132605	Merged-chr12-79131504-62	Arg2	0.0251512635123945	0.331539803209354
chr19	11817124	11820473	Merged-chr19-11818963-60	Stx3	0.0251768972814221	0.254050303048374
chr12	111412165	111413937	Merged-chr12-111413383-56	Exoc3l4	0.0251768972814221	0.346261791198094
chr6	55338921	55339525	Merged-chr6-55339225-16	Aqp1	0.0251768972814221	0.647614868113735
chr4	95153624	95154453	Merged-chr4-95154094-6	Jun	0.0252069631357521	0.757808909317794
chr2	90939768	90941596	Merged-chr2-90940687-57	Celf1	0.0252563782259436	0.286284498897994
chr2	92006756	92009072	Merged-chr2-92008075-58	Creb3l1	0.0252563782259436	0.225734631565125
