Chr	Start	End	Location	Gene.Name	padj_Juvenile_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Juvenile_CD49bneg_vs_Juvenile_CD49bpos
chr18	39136823	39138388	Merged-chr18-39137670-57	Arhgap26	0.0342665536895563	0.366351614698136
chr13	54186011	54189216	Merged-chr13-54187521-102	Hrh2	0.0342665536895563	0.334321922087341
chr3	97157690	97159805	Merged-chr3-97158822-57	Acp6	0.0342665536895563	0.32389173829872
chr16	90029400	90030653	Merged-chr16-90030035-36	Tiam1	0.035182045575279	0.636950746276351
chr13	44355485	44356531	Merged-chr13-44356067-43	1700029N11Rik	0.0357855771084681	0.624460568375856
chr19	55740832	55744724	Merged-chr19-55742655-73	Tcf7l2	0.036914071628482	0.235667036977223
chr14	65149088	65150547	Merged-chr14-65149869-57	Extl3	0.0371050698612991	0.332129612157194
chr1	55605422	55606632	Merged-chr1-55606141-28	Plcl1	0.0371071473726974	0.676213402083825
chr7	127386216	127387534	Merged-chr7-127386925-57	9130019O22Rik	0.0377915055585746	0.4489557105959
chr5	148896756	148898705	Merged-chr5-148897773-56	Katnal1	0.0377915055585746	0.378372707136667
chr16	91596278	91598399	Merged-chr16-91597567-57	Tmem50b	0.0377915055585746	0.296720555561942
chr5	117605327	117606447	Merged-chr5-117605893-30	Ksr2	0.0377915055585746	0.521271971942752
chr18	13847727	13849459	Merged-chr18-13848532-45	Zfp521	0.0377915055585746	0.395551405148518
chr8	46888211	46889345	Merged-chr8-46888739-30	Enpp6	0.0377915055585746	0.437947052523588
chr5	123037987	123041514	Merged-chr5-123039626-82	Morn3	0.0377915055585746	0.256326231512286
chr10	81036233	81037874	Merged-chr10-81037243-57	Slc39a3	0.0377915055585746	0.312916331618055
chr3	96414095	96415480	Merged-chr3-96414607-57	Terc	0.0378480608298098	0.394963883911193
chrX	103025451	103027779	Merged-chrX-103026281-54	Gm5126	0.040050825402612	0.442290660208203
chr6	31321643	31322092	Merged-chr6-31321872-4	Mkln1os	0.0403510723914247	0.851838843496882
chr19	44725746	44727193	Merged-chr19-44726429-47	Pax2	0.0414229913577588	0.528955625915326
chr1	61180907	61181992	Merged-chr1-61181475-55	9530026F06Rik	0.0414229913577588	0.42367485966275
chr19	32106740	32108422	Merged-chr19-32107775-57	Asah2	0.0415367348114791	0.354731026295902
chr17	34980531	34982728	Merged-chr17-34981633-57	Lsm2	0.0415601421581381	0.323160077792937
chr15	75929000	75930596	Merged-chr15-75929759-57	Tsta3	0.0417838990769534	0.377538128157813
chr14	47647985	47650452	Merged-chr14-47649523-57	Ktn1	0.0417838990769534	0.305913059246431
chr8	70896818	70899036	Merged-chr8-70897817-57	Rpl18a	0.0439402848746306	0.228679316182892
chr11	96616296	96617302	Merged-chr11-96616983-28	Skap1	0.0439402848746306	0.467447062029093
chr3	65665675	65667131	Merged-chr3-65666356-57	Lekr1	0.0439402848746306	0.352758295333323
chr2	164484980	164488217	Merged-chr2-164486733-58	Dbndd2	0.0439402848746306	0.363447753323035
chr9	122949862	122951781	Merged-chr9-122950968-57	1110059G10Rik	0.0441492196118317	0.369532107052214
chr16	78575716	78577784	Merged-chr16-78576769-57	D16Ertd472e	0.0449769216881703	0.270247346499913
chr2	84826436	84827843	Merged-chr2-84827191-57	Timm10	0.0457150852583143	0.333133417399405
chr8	61875049	61878293	Merged-chr8-61876474-100	Palld	0.0463360776769184	0.291986664464999
chr17	46073397	46075555	Merged-chr17-46074476-58	Mrps18a	0.0468570139588479	0.286533990323289
chr17	30657586	30659049	Merged-chr17-30658293-56	Dnah8	0.0468835858299492	0.472787670722404
chr11	98026247	98027553	Merged-chr11-98026896-57	Rpl19	0.048487000428325	0.282911790485607
chr1	170844491	170846624	Merged-chr1-170845748-61	Atf6	0.048487000428325	0.389632698962404
chr1	44100997	44103190	Merged-chr1-44102159-57	Tex30	0.048487000428325	0.315499487479667
chr14	47567481	47569064	Merged-chr14-47568353-57	Atg14	0.048487000428325	0.391388299209616
chr19	26747393	26749997	Merged-chr19-26748155-57	Smarca2	0.0485862630229036	0.321441332202697
chr17	43554191	43555676	Merged-chr17-43554929-29	Ankrd66	0.0485862630229036	0.640316309744104
chr7	110613540	110617023	Merged-chr7-110614770-61	Sbf2	0.0490954583150543	0.286719673513075
chrX	135741849	135743452	Merged-chrX-135742628-57	Gprasp1	0.0492739232954783	0.505228981659299
chr9	63132078	63134235	Merged-chr9-63132927-57	Skor1	0.0492739232954783	0.281681793448859
