p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cd74	1.81855910584811e-36	-3.63737245901437	0.172	0.939	2.73856815749667e-32
Cldn19	2.24880823193245e-36	-1.4847582336334	0.004	0.618	3.38648031646707e-32
Gm42658	5.91041784072076e-35	-1.58013359997289	0.21	0.879	8.90049822634139e-31
Gm29325	9.38620520799557e-34	-1.8834116008565	0.167	0.821	1.41346864227205e-29
RP23-278E1.4	1.30036779452864e-33	-2.07135860301248	0.382	0.925	1.95822386178067e-29
H2-Ab1	3.73271310673812e-32	-3.75850602701274	0.107	0.818	5.62109266743694e-28
H2-Eb1	1.85826763482204e-31	-4.00897225576398	0.069	0.743	2.79836523127851e-27
Gm2895	1.73523467321163e-30	-2.37857254875559	0.069	0.661	2.6130898943894e-26
A430010J10Rik	1.56423129364742e-29	-1.90218049574036	0.27	0.868	2.35557590510365e-25
Gm42974	2.50722928110331e-29	-1.24554051767684	0.09	0.764	3.77563657441347e-25
Mir5107	2.79002242712958e-29	-2.75895994975904	0.146	0.696	4.20149477301444e-25
Rpl3-ps1	8.42540246309054e-29	-1.28116209909999	0.391	0.825	1.2687813569168e-24
Sdpr	3.48254635902601e-28	-3.39213196174392	0.146	0.75	5.24436656205727e-24
Rorb	8.28624153179245e-28	-2.21015814982226	0.047	0.704	1.24782511227263e-23
Matn4	1.02672156423374e-27	-4.87767462661851	0.013	0.507	1.5461400035796e-23
Gm15441	4.75509920141702e-27	-1.23904556343697	0.974	0.989	7.1607038874139e-23
Tpt1	5.70113651811247e-27	-1.0627520039884	1	1	8.58534148262556e-23
Nlgn1	4.59078085382476e-26	-1.67922615133929	0.459	0.943	6.91325688777471e-22
F2rl3	1.98623732735478e-25	-2.40119028819316	0.279	0.814	2.99107479126356e-21
Lppr3	6.20648158379224e-25	-1.57659730469174	0.764	0.961	9.34634061703274e-21
H2-Q6	8.53010510426279e-25	-1.32587482005902	0.854	0.996	1.28454852765093e-20
AA465934	2.57253808163416e-24	-1.43414332105794	0.609	0.996	3.87398509713289e-20
Glul	1.35737232220694e-23	-1.46825012413983	0.815	0.986	2.04406698001143e-19
Gm23419	2.06129102079871e-23	-1.16759929348466	0.961	0.971	3.10409814822078e-19
Tgm2	4.07282313083226e-23	-1.7634976666541	0.76	0.996	6.1332643527203e-19
Npdc1	6.10868995197682e-23	-2.78430649074972	0.335	0.782	9.1990761986819e-19
Galnt6	7.90499280405437e-23	-2.49992961440845	0.227	0.761	1.19041286636255e-18
Klhl32	8.37670283663244e-23	-1.36363438189555	0.047	0.654	1.26144768016848e-18
Gstm2	1.00501586096189e-22	-3.47401239989384	0.047	0.521	1.5134533850225e-18
Mt1	3.08247185185196e-22	-1.80614905816836	0.103	0.707	4.64189436170386e-18
Mpo	3.15984841221697e-21	-3.63428577966832	0.515	0.739	4.75841572395754e-17
Bgn	3.70449196688084e-20	-2.97079956984149	0.159	0.732	5.57859445292586e-16
Cit	3.73677181602339e-20	-1.16366761009967	0.837	0.986	5.62720467774962e-16
RP23-44N5.3	3.97420823802657e-20	-1.33019831389394	0.451	0.95	5.98476018564421e-16
Galnt6os	7.55751886891869e-20	-1.7667912862178	0.159	0.554	1.13808676647047e-15
Muc13	7.88902643606414e-20	-1.92282298319035	0.532	0.954	1.1880084910069e-15
Kit	1.82120116259094e-19	-1.07392139996612	0.974	0.993	2.7425468307457e-15
C530043K16Rik	3.0128040687092e-19	-1.37626088914149	0.335	0.786	4.53698164706918e-15
Por	3.70595156043101e-19	-1.29656894491786	0.7	0.971	5.58079245485305e-15
Mir8114	1.23534784915472e-18	-1.27068563247673	0.618	0.9	1.86031032604209e-14
Gm11505	1.3665421650008e-18	-2.54524190820574	0.159	0.489	2.0578758462747e-14
Elane	1.6090924998811e-18	-2.357762236189	0.094	0.45	2.42313239557094e-14
Gm42636	4.71650600289274e-18	-1.93401132478856	0.146	0.736	7.10258638975617e-14
Teddm2	6.56331955345225e-18	-1.10617727597488	0.631	0.914	9.88370291554374e-14
Nupr1	2.42130380426151e-17	-1.63396860127001	0.318	0.804	3.64624139883741e-13
Pde6a	3.31429276590662e-17	-1.40396465737372	0.039	0.529	4.99099347617877e-13
Gm15564	4.18129728924145e-17	-1.40312956428234	0.687	0.804	6.29661558786871e-13
Gm44090	1.69779967782769e-16	-1.4679642674196	0.103	0.568	2.55671653484072e-12
Mir703	2.80923871488242e-16	-1.10729965093418	0.974	0.943	4.23043258074143e-12
mt-Ts1	1.97640301603776e-15	-1.05986721748995	1	1	2.97626530185127e-11
Eltd1	2.23020231637419e-15	-1.4105850461349	0.876	0.986	3.35846166822789e-11
Col16a1	3.33386938326981e-15	-2.16936468361833	0.185	0.564	5.02047390426601e-11
Itga2b	4.09954520321789e-15	-2.15868593129969	0.279	0.725	6.17350512152581e-11
Sbspon	5.62680086887497e-15	-4.39801819452111	0.013	0.307	8.47339942843881e-11
Tacstd2	2.56229465944814e-14	-3.0449244559125	0.026	0.357	3.85855952766296e-10
H2-DMb1	3.8653291064917e-14	-1.76756677498885	0.27	0.646	5.82079910146585e-10
H2-T22	4.25401733932164e-14	-1.29468340291208	0.708	0.918	6.40612471128446e-10
Coro1c	5.78641502758492e-14	-1.68866032835581	0.386	0.807	8.71376239004014e-10
Clu	6.35412718020799e-14	-2.42042079135773	0.172	0.721	9.56868012067521e-10
Mir1966	8.61528669859567e-14	-1.03622094292139	0.163	0.361	1.29737602394152e-09
Tm4sf1	1.57190443216769e-13	-3.52970246857749	0.03	0.35	2.36713088440133e-09
Irf2bpl	2.42848404152091e-13	-3.17378123543924	0.056	0.332	3.65705411812634e-09
RP23-308M1.1	2.56032304763257e-13	-1.23477640522266	0.116	0.561	3.85559047742989e-09
Amotl2	2.77796247152445e-13	-3.792189356941	0.155	0.364	4.18333368586866e-09
Gm15657	4.10464963135479e-13	-1.41667997220271	0.442	0.768	6.18119187985718e-09
Rbpjl	4.62209370792858e-13	-3.23922344456273	0	0.207	6.96041091476965e-09
Gm19087	9.14583874455184e-13	-1.35776842056806	0.189	0.582	1.37727185654206e-08
Itgb3	1.02765809637031e-12	-3.17893431721237	0.103	0.471	1.54755032732405e-08
C130026I21Rik	1.20964950104208e-12	-2.01449972489036	0.159	0.504	1.82161118361927e-08
Slc39a2	1.41237085527201e-12	-1.41112829849532	0.189	0.679	2.12688927095412e-08
RP23-325F17.4	1.79678357206525e-12	-3.25130782933767	0.013	0.254	2.70577638117305e-08
Gm10612	2.75666806597037e-12	-1.28554331203957	0.313	0.482	4.15126644054478e-08
Tmem87a	3.94759388651767e-12	-1.08892344135714	0.468	0.979	5.94468163370696e-08
5830416I19Rik	6.19416499754962e-12	-1.85632961146044	0.026	0.507	9.32779306980997e-08
Plk2	2.05024193338264e-11	-2.86554015230026	0.124	0.443	3.08745932748091e-07
Gm11646	2.21290207020579e-11	-1.27301384938448	0.339	0.514	3.3324092275229e-07
St3gal1	2.30006516348475e-11	-1.79040885343304	0.386	0.711	3.46366812969168e-07
Fyb	2.48676579808181e-11	-1.58281757334338	0.232	0.561	3.7448206153314e-07
H2-Q5	2.98939129019156e-11	-1.0634160637684	0.562	0.796	4.50172434389948e-07
A530040E14Rik	3.1100708241309e-11	-1.66778893185078	0.146	0.471	4.68345565405872e-07
Ptbp1	4.0671532971612e-11	-1.0575586345341	0.811	0.986	6.12472615019505e-07
Ffar2	4.10713298588801e-11	-2.75515555173576	0.009	0.171	6.18493156344875e-07
Sult1a1	4.31006586104369e-11	-1.73531663771269	0.485	0.882	6.4905281801457e-07
Gm10419	5.21050063818394e-11	-2.81502399361849	0.176	0.436	7.8464929110412e-07
Mab21l2	5.30099609078403e-11	-2.81140829132408	0.004	0.132	7.98277001311168e-07
Atxn2l	5.89025676564549e-11	-1.94040406578219	0.7	0.832	8.87013766338554e-07
Pnpla2	8.26979610936054e-11	-1.13458010379676	0.412	0.75	1.2453485961086e-06
Gm20412	1.01357831537181e-10	-1.22394330488333	0.571	0.818	1.5263475851184e-06
Ptk2b	1.79424396373849e-10	-1.35754708148175	0.717	0.904	2.70195198499379e-06
Myc	1.8670750669182e-10	-1.16967473851586	0.498	0.843	2.81162834327211e-06
Gm12500	1.95571200607866e-10	-1.06003092288149	0.498	0.646	2.94510670995386e-06
Mir124-2hg	2.05367027292563e-10	-1.44154418501872	0.073	0.446	3.09262206399871e-06
Tap1	2.82328591161009e-10	-1.16079582379018	0.657	0.921	4.25158625429363e-06
Gm17122	3.04664200303871e-10	-1.49159556722358	0.326	0.543	4.58793819237599e-06
Jak3	3.3023909487055e-10	-1.32501901201371	0.695	0.886	4.97307052965562e-06
Tnfrsf1a	5.04796149251921e-10	-1.12796413762766	0.571	0.857	7.60172521158468e-06
Enpp5	5.31465057014671e-10	-1.72100402419669	0.421	0.739	8.00333229358393e-06
Sdsl	5.70264861002981e-10	-1.02077862085493	0.403	0.718	8.58761854184389e-06
Cpt1a	6.54680689527992e-10	-1.39215860052795	0.524	0.8	9.85883650360202e-06
Trim47	6.70040846845372e-10	-1.06726519294858	0.815	0.979	1.00901451126445e-05
Acap1	8.29542877821544e-10	-1.00376854784621	0.7	0.918	1.24920861971146e-05
Ptger3	9.77416272137313e-10	-2.13175554845692	0.172	0.5	1.47189116421158e-05
Gpr183	1.18905823615695e-09	-3.32582382929626	0.047	0.325	1.79060279782876e-05
Cd72	1.25457482348508e-09	-1.51928487037134	0.193	0.464	1.88926422668619e-05
Abca4	1.53629721494896e-09	-2.58700245069745	0.026	0.214	2.31350997599164e-05
Scarf1	2.12397421729071e-09	-1.02235789903303	0.682	0.893	3.19849277381808e-05
Gm10392	2.28489876476572e-09	-1.31450866691367	0.27	0.486	3.44082904986069e-05
Pitpnm1	2.33015268877718e-09	-1.98313852118584	0.253	0.514	3.50897693402956e-05
Cysltr2	2.78835508018291e-09	-2.13189703769755	0.129	0.404	4.19898391524745e-05
Slco4a1	2.87337028837773e-09	-2.23939499512678	0.12	0.468	4.32700831726803e-05
Tuba1c	2.98213301086589e-09	-1.31732734751902	0.3	0.604	4.49079410106294e-05
Tuba8	3.73620534846587e-09	-2.89192610217867	0.009	0.207	5.62635163425475e-05
Gm29585	3.87378919874473e-09	-1.13691110032833	0.288	0.436	5.83353915438969e-05
Surf4	4.35000526359151e-09	-1.19579848756433	0.764	0.921	6.55067292644246e-05
Coasy	7.5051407795801e-09	-1.50081358719744	0.206	0.432	0.000113019914999697
Ctsg	1.24757608828645e-08	-1.06730666625524	0.056	0.268	0.000187872483135056
Leng8	1.51351682791938e-08	-1.43913083568452	0.815	0.925	0.000227920499116379
Igfbp4	1.77469909574328e-08	-1.01282504377311	0.704	0.925	0.000267251936827981
Clec1a	2.16077926783233e-08	-1.92796254943626	0.232	0.611	0.00032539174994287
Fam63a	3.2408341784736e-08	-1.37932608042234	0.652	0.843	0.000488037218936339
Vldlr	4.47609572698218e-08	-3.22901219797936	0.021	0.246	0.000674055255526247
Socs3	4.99504490175156e-08	-3.37087617667934	0.021	0.239	0.000752203811754767
Cfap43	5.72846904267711e-08	-2.14589757425088	0.206	0.457	0.000862650153136746
2410017I17Rik	7.10732272970098e-08	-2.16374642651319	0.047	0.282	0.00107029172986567
Slc35c2	7.45770989291149e-08	-1.15845698919687	0.494	0.771	0.00112305653277354
Plscr2	7.82055568302829e-08	-3.37155354775119	0.343	0.464	0.00117769748030723
Cldn5	8.51583434870057e-08	-2.47242072916772	0.137	0.539	0.00128239949457082
Sun2	8.83740087018533e-08	-2.3812932086967	0.506	0.679	0.00133082419704121
Igtp	1.05316086560086e-07	-1.61370035542051	0.597	0.779	0.00158595494750834
Prom2	1.15209681616122e-07	-3.41983447869711	0.013	0.175	0.00173494259545717
Tgfbi	1.15761258272022e-07	-2.16715774990013	0.189	0.457	0.00174324878831837
Gem	1.40253045851241e-07	-2.07947273196278	0.167	0.446	0.00211207061747384
Fhl1	1.62035395509806e-07	-1.96368503774806	0.322	0.6	0.00244009102098217
Tbxa2r	1.80706848514442e-07	-1.63811806517443	0.137	0.425	0.00272126443177898
RP23-406B13.9	1.83807549244143e-07	-1.38884337034905	0.112	0.243	0.00276795788406755
1700084C06Rik	2.01848332464635e-07	-1.05279946857763	0.296	0.468	0.00303963403858494
Klrb1c	2.26676955575916e-07	-2.78774284691478	0.052	0.311	0.00341352827401772
Oxr1	2.40024977138874e-07	-1.713676601371	0.395	0.664	0.00361453613073431
H2-DMa	2.47520455858995e-07	-1.19612564493107	0.464	0.829	0.00372741054478061
Abhd15	2.49595385205919e-07	-1.3460094342856	0.378	0.582	0.00375865690581594
Lag3	2.97522550143595e-07	-2.57099483870643	0.112	0.339	0.0044803920826124
Wbp1	3.23283817891284e-07	-1.12577954807105	0.288	0.6	0.00486833101362485
Mt2	3.23528918967387e-07	-1.69290903904469	0.03	0.318	0.00487202199072989
Tesk1	3.47996829533539e-07	-1.1953715376531	0.193	0.389	0.00524048425594557
Pdlim1	4.22009867387146e-07	-1.02979406818841	0.519	0.732	0.00635504659298303
Apol7e	4.2848298803912e-07	-1.65702823701299	0.034	0.211	0.00645252531688111
Raver1	4.82504140678958e-07	-1.82031684759126	0.635	0.793	0.00726602985448443
Gm15856	5.48430069476911e-07	-1.59127845206359	0.009	0.118	0.0082588084162528
Slc35c1	5.87975319600314e-07	-1.12795906856967	0.421	0.646	0.00885432033786114
Slc16a12	6.49531261451301e-07	-2.47352876402239	0.021	0.186	0.00978129126619513
