p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Bhlhe41	7.36173910779644e-47	-1.91696345501054	0.987	1	1.10860429224307e-42
Gm16548	1.69923134955455e-45	-3.63084531240936	0.047	0.711	2.55887248929419e-41
Gm26917	8.45505493641e-44	-1.62450748937905	0.991	1	1.27324672287398e-39
Acta2	3.68721936741953e-43	-1.6269204468363	0.039	0.525	5.55258364539707e-39
Slc34a2	5.48207457804728e-43	-2.02360069303004	0.82	0.982	8.2554561070814e-39
Ndrg1	1.14182878947382e-42	-4.31387985809627	0.12	0.893	1.71947997406863e-38
Lars2	1.57440113774613e-41	-2.00385919545564	1	1	2.3708906733319e-37
Plau	1.79335377628383e-41	-1.61704017541487	0.206	0.954	2.70061145170582e-37
Gm7389	6.87837999210985e-39	-1.86917385935733	0.12	0.811	1.03581524301182e-34
H2-Aa	8.84536119361708e-39	-4.48136882711447	0.069	0.843	1.3320229421468e-34
Gm17035	1.98148661226837e-38	-3.50174038632949	0.103	0.782	2.98392068941494e-34
Mrpl23-ps1	9.85594258484078e-38	-2.38208102487617	0.215	0.868	1.48420639385117e-33
H2-Q7	5.9509630022374e-37	-1.46363684403034	0.97	1	8.9615551850693e-33
Cd74	1.81855910584811e-36	-3.63737245901437	0.172	0.939	2.73856815749667e-32
Cldn19	2.24880823193245e-36	-1.4847582336334	0.004	0.618	3.38648031646707e-32
Gm42658	5.91041784072076e-35	-1.58013359997289	0.21	0.879	8.90049822634139e-31
Gm29325	9.38620520799557e-34	-1.8834116008565	0.167	0.821	1.41346864227205e-29
RP23-278E1.4	1.30036779452864e-33	-2.07135860301248	0.382	0.925	1.95822386178067e-29
H2-Ab1	3.73271310673812e-32	-3.75850602701274	0.107	0.818	5.62109266743694e-28
H2-Eb1	1.85826763482204e-31	-4.00897225576398	0.069	0.743	2.79836523127851e-27
Gm2895	1.73523467321163e-30	-2.37857254875559	0.069	0.661	2.6130898943894e-26
A430010J10Rik	1.56423129364742e-29	-1.90218049574036	0.27	0.868	2.35557590510365e-25
Gm42974	2.50722928110331e-29	-1.24554051767684	0.09	0.764	3.77563657441347e-25
Mir5107	2.79002242712958e-29	-2.75895994975904	0.146	0.696	4.20149477301444e-25
Rpl3-ps1	8.42540246309054e-29	-1.28116209909999	0.391	0.825	1.2687813569168e-24
Sdpr	3.48254635902601e-28	-3.39213196174392	0.146	0.75	5.24436656205727e-24
Rorb	8.28624153179245e-28	-2.21015814982226	0.047	0.704	1.24782511227263e-23
Matn4	1.02672156423374e-27	-4.87767462661851	0.013	0.507	1.5461400035796e-23
Gm15441	4.75509920141702e-27	-1.23904556343697	0.974	0.989	7.1607038874139e-23
Tpt1	5.70113651811247e-27	-1.0627520039884	1	1	8.58534148262556e-23
Nlgn1	4.59078085382476e-26	-1.67922615133929	0.459	0.943	6.91325688777471e-22
F2rl3	1.98623732735478e-25	-2.40119028819316	0.279	0.814	2.99107479126356e-21
Lppr3	6.20648158379224e-25	-1.57659730469174	0.764	0.961	9.34634061703274e-21
H2-Q6	8.53010510426279e-25	-1.32587482005902	0.854	0.996	1.28454852765093e-20
AA465934	2.57253808163416e-24	-1.43414332105794	0.609	0.996	3.87398509713289e-20
Glul	1.35737232220694e-23	-1.46825012413983	0.815	0.986	2.04406698001143e-19
Gm23419	2.06129102079871e-23	-1.16759929348466	0.961	0.971	3.10409814822078e-19
Tgm2	4.07282313083226e-23	-1.7634976666541	0.76	0.996	6.1332643527203e-19
Npdc1	6.10868995197682e-23	-2.78430649074972	0.335	0.782	9.1990761986819e-19
Galnt6	7.90499280405437e-23	-2.49992961440845	0.227	0.761	1.19041286636255e-18
